Jogador,Assists_Simuladas,Assists_Medias_Torneio
Bruno Fernandes (Portugal),28715,2.87
Junya Ito (Japan),27568,2.76
Takefusa Kubo (Japan),27586,2.76
Lionel Messi (Argentina),24895,2.49
Achraf Hakimi (Morocco),24376,2.44
Nicolás González (Argentina),23224,2.32
Nuno Mendes (Portugal),22104,2.21
Lamine Yamal (Spain),19930,1.99
Ismaïla Sarr (Senegal),17355,1.74
Saman Ghoddos (Iran),17149,1.71
Declan Rice (England),17025,1.7
Enzo Fernández (Argentina),16474,1.65
Nélson Semedo (Portugal),16466,1.65
Ivan Perišić (Croatia),16253,1.63
Mehdi Taremi (Iran),15786,1.58
Iliman Ndiaye (Senegal),15753,1.58
Sadio Mané (Senegal),15838,1.58
Marc Guéhi (England),15468,1.55
Nicolas Jackson (Senegal),14928,1.49
Denzel Dumfries (Netherlands),14882,1.49
Ali Abdi (Tunisia),14805,1.48
Mikel Oyarzabal (Spain),14536,1.45
Akram Afif (Qatar),14122,1.41
Bernardo Silva (Portugal),13909,1.39
Arda Güler (Türkiye),13830,1.38
Giovani Lo Celso (Argentina),13758,1.38
Thiago Almada (Argentina),13606,1.36
Jude Bellingham (England),13368,1.34
Kang-in Lee (South Korea),13090,1.31
Jérémy Doku (Belgium),12988,1.3
