Seleção,Oitavas (%),Quartas (%),Semifinal (%),Final (%),Campeão (%)
Argentina,85.65,61.05,40.85,27.25,16.35
Spain,91.2,63.4,40.2,24.65,16.3
France,82.5,55.5,34.8,20.5,12.45
England,80.55,52.3,32.4,18.35,10.35
Portugal,83.65,52.35,31.7,16.75,7.9
Germany,78.6,46.55,25.1,13.15,6.3
Brazil,75.55,42.0,21.25,10.7,5.45
Colombia,66.25,38.1,19.3,9.5,4.15
Japan,69.1,38.2,19.05,9.45,3.8
Netherlands,68.9,36.15,18.1,8.8,3.4
Croatia,62.6,32.5,15.85,6.5,2.6
Belgium,76.35,37.05,16.5,6.5,2.55
Uruguay,62.85,33.1,15.65,6.15,2.05
Austria,57.75,29.15,13.4,5.35,2.0
Morocco,62.4,29.85,12.35,4.6,1.8
Ecuador,41.8,17.45,6.65,2.2,0.6
Senegal,44.05,18.15,6.4,2.1,0.45
Mexico,42.4,16.9,5.5,1.6,0.45
Switzerland,64.0,23.45,6.95,1.5,0.3
South Korea,44.3,14.2,4.25,1.1,0.25
Norway,28.35,10.2,3.0,0.7,0.15
USA,34.9,11.3,3.1,0.8,0.15
Türkiye,29.6,8.25,1.95,0.5,0.1
Côte d'Ivoire,29.1,7.9,2.25,0.65,0.05
Paraguay,14.4,3.65,0.45,0.1,0.05
Ghana,2.5,0.3,0.05,0.0,0.0
Czechia,11.35,2.0,0.35,0.05,0.0
Canada,16.35,2.95,0.35,0.1,0.0
Uzbekistan,0.5,0.05,0.0,0.0,0.0
DR Congo,0.3,0.0,0.0,0.0,0.0
Bosnia & Herzegovina,14.85,1.9,0.25,0.05,0.0
Jordan,0.0,0.0,0.0,0.0,0.0
Qatar,0.05,0.0,0.0,0.0,0.0
Algeria,14.6,2.25,0.1,0.0,0.0
Haiti,0.0,0.0,0.0,0.0,0.0
Iraq,0.0,0.0,0.0,0.0,0.0
Curaçao,0.0,0.0,0.0,0.0,0.0
Scotland,9.1,1.5,0.4,0.05,0.0
Saudi Arabia,0.25,0.0,0.0,0.0,0.0
Cabo Verde,0.0,0.0,0.0,0.0,0.0
New Zealand,0.0,0.0,0.0,0.0,0.0
Iran,14.35,2.1,0.2,0.0,0.0
Egypt,19.15,3.55,0.45,0.1,0.0
South Africa,0.35,0.0,0.0,0.0,0.0
Tunisia,0.55,0.1,0.0,0.0,0.0
Sweden,2.4,0.35,0.0,0.0,0.0
Australia,16.45,4.2,0.85,0.2,0.0
Panama,0.1,0.05,0.0,0.0,0.0
