Seleção,Oitavas (%),Quartas (%),Semifinal (%),Final (%),Campeão (%)
Spain,87.06,65.74,47.32,32.86,22.8
Argentina,78.0,55.76,37.12,23.88,15.46
England,73.72,48.6,29.78,16.92,9.6
Japan,69.6,44.46,25.5,14.28,7.32
France,68.36,44.26,26.9,14.48,7.1
Morocco,67.84,39.0,21.18,10.98,5.58
Colombia,56.56,32.32,17.1,8.46,3.58
Portugal,59.92,32.76,16.72,7.84,3.54
Netherlands,57.36,29.72,14.92,7.22,3.04
Germany,61.0,32.8,15.92,7.2,2.98
Brazil,59.02,32.14,15.44,7.18,2.92
Senegal,49.64,26.4,13.06,5.78,2.54
Uruguay,52.32,27.76,13.56,6.02,2.16
Mexico,55.52,27.66,11.92,5.22,1.9
Belgium,50.46,22.06,9.12,3.72,1.3
Croatia,51.64,24.46,11.04,4.52,1.18
USA,45.64,20.64,8.8,3.34,1.0
Norway,38.56,17.76,7.56,2.52,0.94
Austria,37.26,16.48,6.92,2.72,0.92
Ecuador,36.72,15.46,6.18,2.06,0.8
Australia,37.12,16.86,6.86,2.68,0.74
South Korea,40.56,16.28,6.0,1.92,0.6
Switzerland,51.22,18.72,6.02,1.76,0.46
Iran,39.46,14.56,5.14,1.48,0.4
Türkiye,24.26,9.02,2.76,0.94,0.24
Côte d'Ivoire,28.88,10.98,3.6,1.0,0.24
Algeria,20.56,7.1,1.92,0.46,0.16
Paraguay,17.66,5.84,1.76,0.52,0.14
DR Congo,13.62,4.74,1.22,0.42,0.1
Egypt,26.06,8.04,2.18,0.44,0.08
Canada,28.28,7.28,1.62,0.36,0.08
Tunisia,9.64,2.36,0.42,0.08,0.04
Uzbekistan,15.76,4.92,1.52,0.36,0.04
Panama,12.74,3.0,0.56,0.1,0.02
Iraq,3.74,0.7,0.08,0.0,0.0
Qatar,6.24,0.6,0.04,0.0,0.0
Bosnia & Herzegovina,4.4,0.42,0.08,0.02,0.0
Saudi Arabia,4.34,0.78,0.1,0.0,0.0
Cabo Verde,3.58,0.6,0.18,0.06,0.0
Jordan,6.78,1.38,0.16,0.0,0.0
Scotland,9.96,2.22,0.5,0.04,0.0
New Zealand,1.5,0.16,0.02,0.0,0.0
South Africa,12.62,2.62,0.46,0.1,0.0
Czechia,9.5,1.62,0.3,0.02,0.0
Sweden,6.12,1.28,0.2,0.0,0.0
Curaçao,4.74,0.98,0.14,0.02,0.0
Ghana,2.62,0.3,0.06,0.02,0.0
Haiti,1.84,0.4,0.04,0.0,0.0
