Jogador,Gols_Simulados,Gols_Medios_Torneio
Kylian Mbappé (France),22767,4.55
Harry Kane (England),21442,4.29
Brahim Díaz (Morocco),17181,3.44
Erling Haaland (Norway),16256,3.25
Mehdi Taremi (Iran),16097,3.22
Cristiano Ronaldo (Portugal),15435,3.09
Mikel Oyarzabal (Spain),14672,2.93
Ayase Ueda (Japan),14308,2.86
Breel Embolo (Switzerland),13340,2.67
Lionel Messi (Argentina),12924,2.58
Mikel Merino (Spain),12068,2.41
Jonathan David (Canada),11926,2.39
Sadio Mané (Senegal),10953,2.19
Cody Gakpo (Netherlands),10764,2.15
Romelu Lukaku (Belgium),10643,2.13
Son Heung-min (South Korea),10517,2.1
Raúl Jiménez (Mexico),10350,2.07
Mohamed Salah (Egypt),9901,1.98
Luis Díaz (Colombia),8116,1.62
Andrej Kramarić (Croatia),7968,1.59
Memphis Depay (Netherlands),7830,1.57
Dani Olmo (Spain),7593,1.52
Michael Gregoritsch (Austria),7600,1.52
Almoez Ali (Qatar),7496,1.5
Lautaro Martínez (Argentina),7230,1.45
Viktor Gyökeres (Sweden),7239,1.45
Bruno Fernandes (Portugal),6888,1.38
Kai Havertz (Germany),6863,1.37
Ferran Torres (Spain),6857,1.37
Vinícius Júnior (Brazil),6761,1.35
