Jogador,Assists_Simuladas,Assists_Medias_Torneio
Lamine Yamal (Spain),13054,2.61
Mikel Oyarzabal (Spain),11435,2.29
Junya Ito (Japan),9477,1.9
Takefusa Kubo (Japan),8887,1.78
James Rodríguez (Colombia),8445,1.69
Nico Williams (Spain),8198,1.64
Fabián Ruiz (Spain),7616,1.52
Achraf Hakimi (Morocco),6842,1.37
Kylian Mbappé (France),6851,1.37
Declan Rice (England),6755,1.35
Joshua Kimmich (Germany),6650,1.33
Ivan Perišić (Croatia),6074,1.21
Remo Freuler (Switzerland),5740,1.15
Ferran Torres (Spain),5693,1.14
Pedri (Spain),5699,1.14
Azzedine Ounahi (Morocco),5631,1.13
Jude Bellingham (England),5490,1.1
Akram Afif (Qatar),5389,1.08
Rubén Vargas (Switzerland),5411,1.08
Marc Cucurella (Spain),5372,1.07
Bruno Fernandes (Portugal),5251,1.05
Denzel Dumfries (Netherlands),5173,1.03
Lucas Digne (France),5086,1.02
Nuno Mendes (Portugal),5046,1.01
Lucas Paquetá (Brazil),5046,1.01
Enzo Fernández (Argentina),5018,1.0
Marc Guéhi (England),4800,0.96
Florian Wirtz (Germany),4780,0.96
Saman Ghoddos (Iran),4739,0.95
Kang-in Lee (South Korea),4695,0.94
