Seleção,Oitavas (%),Quartas (%),Semifinal (%),Final (%),Campeão (%)
Argentina,60.0,39.97,25.7,16.62,10.7
Japan,59.19,38.42,24.45,15.2,9.01
Spain,60.21,38.0,22.89,13.37,7.88
Morocco,55.44,33.61,19.8,11.69,6.66
England,54.46,32.23,18.37,10.08,5.62
France,43.86,24.79,14.03,7.64,4.12
Portugal,45.61,25.84,14.1,7.65,3.91
Norway,45.33,25.52,13.69,7.36,3.85
Senegal,43.05,24.24,12.93,6.78,3.78
Netherlands,43.47,23.18,12.3,6.2,2.83
Belgium,45.55,23.73,11.62,5.75,2.67
Colombia,39.45,21.28,10.98,5.29,2.62
Austria,40.4,21.49,11.05,5.47,2.61
Mexico,40.84,21.43,10.73,5.29,2.54
Germany,41.42,21.72,10.7,5.14,2.39
Côte d'Ivoire,40.48,20.69,10.12,4.78,2.27
South Korea,38.54,19.18,9.36,4.4,2.04
Iran,41.69,21.16,9.95,4.53,1.94
USA,39.78,19.84,9.25,4.31,1.92
Brazil,38.09,19.2,9.3,4.21,1.85
Australia,38.32,18.96,9.08,4.2,1.77
Uruguay,35.89,17.09,8.11,3.7,1.7
Croatia,38.84,18.6,8.89,3.95,1.7
Switzerland,43.03,20.05,9.57,4.4,1.69
Algeria,31.99,15.63,7.49,3.76,1.61
Egypt,33.06,15.11,6.57,2.72,1.17
Canada,39.36,17.42,7.51,3.17,1.1
Uzbekistan,31.34,14.05,6.37,2.79,1.05
Ecuador,29.91,13.72,6.24,2.66,0.99
DR Congo,26.65,11.78,4.97,1.9,0.83
Türkiye,28.74,12.25,5.03,1.95,0.81
Tunisia,24.69,10.71,4.24,1.57,0.61
South Africa,26.12,10.63,4.36,1.6,0.51
Czechia,23.87,9.61,3.69,1.33,0.47
Haiti,23.9,9.21,3.68,1.23,0.46
Panama,21.38,7.56,2.46,0.77,0.29
Paraguay,20.25,7.1,2.46,0.95,0.27
Curaçao,19.17,7.04,2.55,0.85,0.26
Jordan,16.08,5.89,2.21,0.83,0.26
Iraq,15.91,6.02,2.21,0.82,0.25
Cabo Verde,19.56,6.51,2.16,0.67,0.25
Sweden,15.34,5.62,1.93,0.58,0.24
Scotland,15.71,5.51,1.76,0.52,0.15
Saudi Arabia,13.75,4.28,1.3,0.43,0.11
Bosnia & Herzegovina,15.21,4.16,1.19,0.29,0.1
Qatar,14.08,4.08,1.02,0.25,0.08
Ghana,13.8,4.15,1.27,0.27,0.05
New Zealand,7.19,1.74,0.36,0.08,0.01
