Jogador,Gols_Simulados,Gols_Medios_Torneio
Kylian Mbappé (France),38538,3.85
Erling Haaland (Norway),36255,3.63
Harry Kane (England),35193,3.52
Mehdi Taremi (Iran),31618,3.16
Jonathan David (Canada),25234,2.52
Mikel Oyarzabal (Spain),24250,2.42
Cristiano Ronaldo (Portugal),23624,2.36
Andrej Kramarić (Croatia),21046,2.1
Ayase Ueda (Japan),20376,2.04
Brahim Díaz (Morocco),19894,1.99
Lionel Messi (Argentina),19715,1.97
Sadio Mané (Senegal),19604,1.96
Lautaro Martínez (Argentina),18906,1.89
Son Heung-min (South Korea),18811,1.88
Romelu Lukaku (Belgium),18848,1.88
Mohamed Salah (Egypt),18553,1.86
Breel Embolo (Switzerland),18262,1.83
Kai Havertz (Germany),18339,1.83
Luis Díaz (Colombia),17208,1.72
Mohammad Mohebi (Iran),16939,1.69
Ayoub El Kaabi (Morocco),16745,1.67
Raúl Jiménez (Mexico),16507,1.65
Memphis Depay (Netherlands),16251,1.63
Viktor Gyökeres (Sweden),16047,1.6
Kevin De Bruyne (Belgium),15922,1.59
Cody Gakpo (Netherlands),15763,1.58
Edin Džeko (Bosnia & Herzegovina),15734,1.57
Jordan Ayew (Ghana),15681,1.57
Bruno Fernandes (Portugal),15554,1.56
Frantzdy Pierrot (Haiti),15555,1.56
