Jogador,Assists_Simuladas,Assists_Medias_Torneio
Takefusa Kubo (Japan),24892,2.49
Junya Ito (Japan),24864,2.49
Achraf Hakimi (Morocco),21623,2.16
Lamine Yamal (Spain),21008,2.1
James Rodríguez (Colombia),17699,1.77
Ivan Perišić (Croatia),16797,1.68
Saman Ghoddos (Iran),15906,1.59
Ali Abdi (Tunisia),15491,1.55
Denzel Dumfries (Netherlands),15485,1.55
Declan Rice (England),15199,1.52
Mikel Oyarzabal (Spain),15239,1.52
Mehdi Taremi (Iran),14727,1.47
Akram Afif (Qatar),14571,1.46
Joshua Kimmich (Germany),14383,1.44
Salem Al-Dawsari (Saudi Arabia),14357,1.44
Marc Guéhi (England),14032,1.4
Bruno Fernandes (Portugal),14006,1.4
Kylian Mbappé (France),13522,1.35
Kang-in Lee (South Korea),13404,1.34
Julian Ryerson (Norway),12738,1.27
Jordan Ayew (Ghana),12435,1.24
Jordan Bos (Australia),12338,1.23
Nico Williams (Spain),12082,1.21
Jérémy Doku (Belgium),12032,1.2
Jude Bellingham (England),11964,1.2
Connor Metcalfe (Australia),11941,1.19
Ali Ahmed (Canada),11884,1.19
Martin Ødegaard (Norway),11921,1.19
Rubén Vargas (Switzerland),11817,1.18
Ali Jasim (Iraq),11588,1.16
