Seleção,Oitavas (%),Quartas (%),Semifinal (%),Final (%),Campeão (%)
Argentina,81.61,67.4,54.7,43.26,34.15
Portugal,69.73,50.95,36.08,24.09,14.81
Senegal,64.82,44.84,30.47,19.25,11.02
Japan,54.53,31.68,17.19,9.05,4.06
Morocco,52.81,30.14,16.44,7.97,3.47
Türkiye,48.15,27.38,14.72,7.05,2.97
England,49.29,26.23,12.51,5.84,2.39
Spain,47.33,23.34,11.04,4.59,1.72
Norway,39.43,20.63,9.8,4.62,1.58
Côte d'Ivoire,39.62,19.88,9.1,3.88,1.54
Austria,35.27,18.08,8.97,4.0,1.39
Australia,37.15,17.78,8.04,3.32,1.15
Belgium,41.69,20.34,8.96,3.57,1.15
Iran,41.19,19.53,8.49,3.08,1.12
Netherlands,34.97,16.47,7.46,3.02,1.03
Algeria,31.32,15.29,6.86,2.91,1.01
Mexico,32.8,15.21,6.46,2.82,0.99
France,31.1,15.29,7.06,2.93,0.96
South Korea,35.63,16.94,7.27,2.92,0.96
Egypt,35.06,15.65,6.93,2.72,0.89
Germany,35.18,16.14,6.71,2.57,0.81
Ecuador,30.36,13.99,5.75,2.28,0.79
Colombia,28.46,13.37,6.02,2.43,0.73
Switzerland,37.15,15.74,6.26,2.12,0.69
Uzbekistan,25.78,11.48,4.82,1.96,0.67
DR Congo,26.06,11.7,5.29,2.08,0.65
Canada,35.23,14.5,5.5,1.86,0.63
Haiti,29.49,12.79,5.09,1.73,0.62
Uruguay,31.27,13.59,5.32,2.11,0.59
South Africa,29.69,12.45,5.06,1.85,0.57
Croatia,32.4,13.84,5.47,2.05,0.56
Cabo Verde,27.61,11.6,4.69,1.61,0.56
USA,29.64,13.0,4.98,1.72,0.53
Tunisia,27.84,11.9,4.71,1.83,0.53
Brazil,29.96,13.06,5.19,1.56,0.43
Czechia,27.25,11.78,4.65,1.58,0.42
Iraq,18.98,7.98,3.09,0.98,0.27
Curaçao,22.22,8.89,3.08,1.03,0.26
Ghana,17.86,5.92,2.05,0.67,0.21
Paraguay,17.9,6.55,2.15,0.69,0.2
Jordan,13.58,5.37,1.94,0.52,0.18
Saudi Arabia,17.34,6.12,1.97,0.72,0.16
Scotland,17.74,6.19,2.01,0.51,0.14
Sweden,18.66,6.77,2.43,0.63,0.14
Panama,21.87,7.67,2.79,0.79,0.13
Qatar,19.3,6.31,2.15,0.69,0.1
Bosnia & Herzegovina,18.52,5.74,1.66,0.34,0.05
New Zealand,9.16,2.51,0.62,0.2,0.02
