Jogador,Gols_Simulados,Gols_Medios_Torneio
Cristiano Ronaldo (Portugal),13222,1.32
Lionel Messi (Argentina),11649,1.16
Lautaro Martínez (Argentina),11442,1.14
Sadio Mané (Senegal),10339,1.03
Harry Kane (England),10226,1.02
Erling Haaland (Norway),9965,1.0
Mehdi Taremi (Iran),9657,0.97
Kylian Mbappé (France),8568,0.86
Bruno Fernandes (Portugal),8546,0.85
Jonathan David (Canada),7268,0.73
Brahim Díaz (Morocco),7118,0.71
Mikel Oyarzabal (Spain),6543,0.65
Ayase Ueda (Japan),6343,0.63
Julián Alvarez (Argentina),6332,0.63
João Félix (Portugal),6093,0.61
Ayoub El Kaabi (Morocco),5911,0.59
Mohamed Salah (Egypt),5736,0.57
Romelu Lukaku (Belgium),5565,0.56
Andrej Kramarić (Croatia),5543,0.55
Alexis Mac Allister (Argentina),5372,0.54
Mohammad Mohebi (Iran),5173,0.52
Son Heung-min (South Korea),5187,0.52
Duckens Nazon (Haiti),5057,0.51
Frantzdy Pierrot (Haiti),5095,0.51
Breel Embolo (Switzerland),5038,0.5
Kai Havertz (Germany),4845,0.48
Nicolas Jackson (Senegal),4696,0.47
Kerem Aktürkoğlu (Türkiye),4611,0.46
Kevin De Bruyne (Belgium),4621,0.46
Edin Džeko (Bosnia & Herzegovina),4544,0.45
