Jogador,Assists_Simuladas,Assists_Medias_Torneio
Achraf Hakimi (Morocco),7701,0.77
Junya Ito (Japan),7574,0.76
Bruno Fernandes (Portugal),7605,0.76
Takefusa Kubo (Japan),7485,0.75
Lionel Messi (Argentina),6829,0.68
Nicolás González (Argentina),6369,0.64
Nuno Mendes (Portugal),6063,0.61
Lamine Yamal (Spain),5658,0.57
Ismaïla Sarr (Senegal),4919,0.49
Saman Ghoddos (Iran),4926,0.49
Ali Abdi (Tunisia),4676,0.47
Enzo Fernández (Argentina),4639,0.46
Iliman Ndiaye (Senegal),4548,0.45
Sadio Mané (Senegal),4456,0.45
Nélson Semedo (Portugal),4533,0.45
Ivan Perišić (Croatia),4484,0.45
Declan Rice (England),4453,0.45
Mehdi Taremi (Iran),4420,0.44
Nicolas Jackson (Senegal),4199,0.42
Denzel Dumfries (Netherlands),4116,0.41
Akram Afif (Qatar),4087,0.41
Mikel Oyarzabal (Spain),3991,0.4
Azzedine Ounahi (Morocco),3991,0.4
Marc Guéhi (England),4011,0.4
Arda Güler (Türkiye),3932,0.39
Giovani Lo Celso (Argentina),3788,0.38
Thiago Almada (Argentina),3758,0.38
Salem Al-Dawsari (Saudi Arabia),3803,0.38
Joshua Kimmich (Germany),3805,0.38
Bernardo Silva (Portugal),3654,0.37
