Seleção,Oitavas (%),Quartas (%),Semifinal (%),Final (%),Campeão (%)
Argentina,75.8,57.22,41.89,29.96,20.62
Japan,74.13,51.84,34.87,22.46,14.37
Morocco,67.48,44.36,27.38,16.65,9.83
England,64.98,40.74,24.55,13.73,7.69
Spain,67.6,42.13,24.56,13.76,7.3
Senegal,49.71,28.44,14.57,7.48,3.46
Norway,49.82,27.81,14.16,6.83,3.01
France,46.32,25.63,13.44,6.35,2.85
Austria,44.93,25.17,13.46,6.44,2.8
Portugal,48.24,26.58,13.9,6.64,2.8
Belgium,51.08,26.04,12.25,5.49,2.26
Colombia,42.44,21.77,11.06,4.99,2.25
Netherlands,46.23,24.32,11.85,5.38,2.23
Australia,44.55,21.9,10.33,4.65,1.92
Mexico,41.18,20.6,9.79,4.25,1.73
Côte d'Ivoire,43.88,21.72,10.35,4.46,1.6
Germany,42.64,21.4,9.85,4.12,1.53
Brazil,40.36,18.82,8.46,3.43,1.45
Uruguay,37.7,16.71,6.98,2.9,1.15
South Korea,40.89,19.59,8.57,3.47,1.12
Croatia,40.75,17.71,7.18,2.75,1.04
Switzerland,45.05,18.79,7.37,2.92,1.01
Algeria,30.73,13.91,5.95,2.48,0.86
Iran,43.04,18.12,7.19,2.53,0.76
USA,36.09,15.59,6.3,2.03,0.69
Ecuador,31.03,14.22,5.98,2.37,0.66
Egypt,34.27,14.1,5.28,1.82,0.62
Uzbekistan,28.07,12.43,4.76,1.75,0.49
DR Congo,24.45,10.06,3.79,1.23,0.39
Canada,35.6,12.59,4.0,1.43,0.3
Türkiye,24.6,8.78,3.01,0.89,0.23
Tunisia,21.97,8.05,2.89,0.7,0.22
South Africa,22.2,7.93,2.63,0.78,0.15
Czechia,18.53,6.07,1.82,0.5,0.14
Haiti,19.8,6.54,2.07,0.57,0.1
Paraguay,14.69,4.5,1.08,0.28,0.07
Iraq,9.25,2.95,0.78,0.22,0.05
Cabo Verde,14.37,3.84,0.98,0.24,0.05
Scotland,8.55,2.14,0.4,0.11,0.04
Jordan,7.88,2.34,0.68,0.17,0.04
Panama,14.2,3.78,0.85,0.2,0.03
Sweden,8.69,2.21,0.55,0.16,0.03
Curaçao,12.76,3.76,0.97,0.22,0.03
Bosnia & Herzegovina,8.9,1.84,0.3,0.04,0.02
Saudi Arabia,7.44,1.62,0.33,0.06,0.01
Qatar,7.98,1.28,0.2,0.03,0.0
New Zealand,1.61,0.19,0.02,0.0,0.0
Ghana,7.54,1.87,0.37,0.08,0.0
