Jogador,Gols_Simulados,Gols_Medios_Torneio
Kylian Mbappé (France),37600,3.76
Harry Kane (England),37205,3.72
Erling Haaland (Norway),36057,3.61
Mehdi Taremi (Iran),32362,3.24
Mikel Oyarzabal (Spain),26913,2.69
Jonathan David (Canada),24668,2.47
Cristiano Ronaldo (Portugal),23442,2.34
Ayase Ueda (Japan),22723,2.27
Lionel Messi (Argentina),21405,2.14
Brahim Díaz (Morocco),21157,2.12
Lautaro Martínez (Argentina),21045,2.1
Andrej Kramarić (Croatia),20820,2.08
Romelu Lukaku (Belgium),19947,1.99
Sadio Mané (Senegal),19512,1.95
Breel Embolo (Switzerland),19434,1.94
Ayoub El Kaabi (Morocco),18100,1.81
Son Heung-min (South Korea),17954,1.8
Mohamed Salah (Egypt),17502,1.75
Kai Havertz (Germany),17193,1.72
Mohammad Mohebi (Iran),17028,1.7
Dani Olmo (Spain),16780,1.68
Memphis Depay (Netherlands),16385,1.64
Luis Díaz (Colombia),16371,1.64
Kevin De Bruyne (Belgium),16311,1.63
Cody Gakpo (Netherlands),15578,1.56
Bruno Fernandes (Portugal),15332,1.53
Mikel Merino (Spain),15262,1.53
Bukayo Saka (England),14275,1.43
Raúl Jiménez (Mexico),14192,1.42
Koki Ogawa (Japan),14060,1.41
