Seleção,Oitavas (%),Quartas (%),Semifinal (%),Final (%),Campeão (%)
Argentina,86.28,68.22,52.01,38.68,28.95
Morocco,80.87,55.98,36.84,22.82,13.83
England,80.12,54.11,34.19,20.47,11.39
Japan,75.06,49.68,31.16,18.09,9.7
Spain,82.19,52.1,30.39,16.72,8.33
France,64.63,39.83,22.16,11.33,4.89
Portugal,65.16,38.03,20.28,9.32,3.8
Senegal,54.33,31.06,16.57,7.71,3.22
Belgium,63.22,32.64,15.28,6.58,2.47
Netherlands,55.67,29.93,14.15,6.07,2.11
Germany,54.57,26.26,11.23,4.6,1.5
Austria,44.94,22.73,10.89,4.58,1.42
Norway,41.04,20.31,8.68,3.34,1.04
Colombia,40.37,18.89,8.18,2.95,0.82
Australia,42.48,18.18,7.13,2.44,0.77
Brazil,43.51,19.13,7.83,2.56,0.74
Croatia,44.99,19.46,7.2,2.52,0.74
Mexico,42.37,18.86,7.03,2.64,0.72
Côte d'Ivoire,43.57,18.8,7.23,2.34,0.62
Iran,47.56,19.65,7.29,2.06,0.53
Algeria,34.01,14.68,5.6,1.91,0.45
Switzerland,51.22,18.57,6.12,1.78,0.37
South Korea,38.82,16.46,5.75,1.7,0.37
Uruguay,36.4,14.57,5.13,1.57,0.32
USA,37.42,13.48,4.41,1.23,0.24
Egypt,34.49,12.13,3.91,1.12,0.22
Ecuador,27.26,9.76,3.11,0.91,0.21
DR Congo,15.47,4.6,1.15,0.29,0.06
South Africa,13.89,3.61,0.71,0.11,0.05
Uzbekistan,13.56,3.96,0.94,0.18,0.04
Türkiye,25.15,7.76,1.9,0.35,0.04
Scotland,4.59,0.63,0.08,0.03,0.01
Czechia,17.63,4.66,1.1,0.23,0.01
Canada,31.87,8.93,2.36,0.46,0.01
Tunisia,13.92,3.84,0.97,0.2,0.01
Qatar,5.23,0.59,0.05,0.01,0.0
Paraguay,6.11,1.24,0.21,0.01,0.0
Haiti,6.45,1.14,0.09,0.01,0.0
Bosnia & Herzegovina,2.83,0.3,0.0,0.0,0.0
Curaçao,2.23,0.31,0.02,0.0,0.0
Saudi Arabia,3.04,0.35,0.06,0.01,0.0
Cabo Verde,4.86,0.73,0.07,0.0,0.0
New Zealand,0.04,0.0,0.0,0.0,0.0
Sweden,4.31,0.75,0.11,0.0,0.0
Jordan,1.6,0.28,0.05,0.01,0.0
Iraq,3.75,0.79,0.11,0.01,0.0
Ghana,1.04,0.13,0.0,0.0,0.0
Panama,9.88,1.9,0.27,0.05,0.0
