Jogador,Gols_Simulados,Gols_Medios_Torneio
Harry Kane (England),54828,5.48
Kylian Mbappé (France),52756,5.28
Mehdi Taremi (Iran),38994,3.9
Mikel Oyarzabal (Spain),37918,3.79
Erling Haaland (Norway),32892,3.29
Cristiano Ronaldo (Portugal),32543,3.25
Brahim Díaz (Morocco),29314,2.93
Lionel Messi (Argentina),29332,2.93
Lautaro Martínez (Argentina),28491,2.85
Romelu Lukaku (Belgium),26721,2.67
Andrej Kramarić (Croatia),25832,2.58
Jonathan David (Canada),25532,2.55
Ayoub El Kaabi (Morocco),25094,2.51
Dani Olmo (Spain),24320,2.43
Ayase Ueda (Japan),24160,2.42
Kai Havertz (Germany),22995,2.3
Sadio Mané (Senegal),22766,2.28
Breel Embolo (Switzerland),22842,2.28
Kevin De Bruyne (Belgium),22425,2.24
Mikel Merino (Spain),21855,2.19
Bruno Fernandes (Portugal),21342,2.13
Bukayo Saka (England),21192,2.12
Memphis Depay (Netherlands),20945,2.09
Mohammad Mohebi (Iran),20566,2.06
Cody Gakpo (Netherlands),19869,1.99
Mohamed Salah (Egypt),19463,1.95
Son Heung-min (South Korea),18599,1.86
Rodri (Spain),17562,1.76
Luis Díaz (Colombia),16740,1.67
Ismael Saibari (Morocco),16634,1.66
