Jogador,Assists_Simuladas,Assists_Medias_Torneio
Lamine Yamal (Spain),32908,3.29
Achraf Hakimi (Morocco),32420,3.24
Takefusa Kubo (Japan),29473,2.95
Junya Ito (Japan),29323,2.93
Declan Rice (England),23654,2.37
Mikel Oyarzabal (Spain),23698,2.37
Marc Guéhi (England),21805,2.18
Ivan Perišić (Croatia),21134,2.11
Denzel Dumfries (Netherlands),19637,1.96
Saman Ghoddos (Iran),19364,1.94
Bruno Fernandes (Portugal),19205,1.92
Nico Williams (Spain),18957,1.9
Kylian Mbappé (France),18755,1.88
Jude Bellingham (England),18409,1.84
Joshua Kimmich (Germany),18124,1.81
Mehdi Taremi (Iran),17716,1.77
Lionel Messi (Argentina),17165,1.72
Jérémy Doku (Belgium),16953,1.7
James Rodríguez (Colombia),16842,1.68
Ferran Torres (Spain),16557,1.66
Azzedine Ounahi (Morocco),16275,1.63
Fabián Ruiz (Spain),16254,1.63
Nicolás González (Argentina),16053,1.61
Alexis Saelemaekers (Belgium),15217,1.52
Rubén Vargas (Switzerland),14808,1.48
Nuno Mendes (Portugal),14772,1.48
Florian Wirtz (Germany),14383,1.44
Remo Freuler (Switzerland),14379,1.44
Cody Gakpo (Netherlands),14110,1.41
Kang-in Lee (South Korea),13265,1.33
