Confronto,Placar Mais Provável,Frequência (%)
Algeria x Austria,0 x 1,13.24
Algeria x Jordan,1 x 1,11.65
Argentina x Algeria,1 x 0,16.99
Argentina x Austria,1 x 0,19.77
Argentina x Jordan,2 x 0,17.36
Australia x Türkiye,1 x 0,15.45
Austria x Jordan,1 x 0,14.3
Belgium x Egypt,1 x 0,13.11
Belgium x Iran,1 x 1,11.77
Belgium x New Zealand,2 x 0,13.86
Bosnia & Herzegovina x Qatar,1 x 1,10.5
Bosnia & Herzegovina x Switzerland,0 x 2,10.2
Brazil x Haiti,2 x 0,12.01
Brazil x Morocco,0 x 1,14.74
Brazil x Scotland,2 x 0,12.46
Cabo Verde x Saudi Arabia,1 x 1,13.52
Cabo Verde x Uruguay,0 x 2,15.1
Canada x Bosnia & Herzegovina,2 x 1,9.22
Canada x Qatar,2 x 1,9.4
Canada x Switzerland,1 x 2,9.36
Croatia x Ghana,2 x 0,13.94
Croatia x Panama,2 x 1,9.66
Curaçao x Côte d'Ivoire,0 x 1,12.99
Curaçao x Ecuador,0 x 1,20.88
Côte d'Ivoire x Ecuador,0 x 0,22.08
DR Congo x Colombia,0 x 1,15.81
DR Congo x Uzbekistan,1 x 1,13.37
Egypt x Iran,1 x 1,11.68
Egypt x New Zealand,2 x 0,12.26
England x Croatia,1 x 0,14.99
England x Ghana,2 x 0,18.19
England x Panama,2 x 0,15.63
France x Iraq,2 x 0,12.71
France x Norway,2 x 1,9.75
France x Senegal,1 x 1,12.79
Germany x Curaçao,2 x 0,12.58
Germany x Côte d'Ivoire,1 x 0,12.68
Germany x Ecuador,1 x 0,18.9
Ghana x Panama,0 x 1,12.0
Haiti x Scotland,1 x 1,10.83
Iran x New Zealand,2 x 0,11.06
Iraq x Norway,0 x 2,11.53
Japan x Sweden,2 x 0,13.67
Japan x Tunisia,2 x 0,16.26
Mexico x Czechia,1 x 0,14.69
Mexico x South Africa,1 x 0,16.27
Mexico x South Korea,1 x 0,16.75
Morocco x Haiti,2 x 0,14.48
Morocco x Scotland,2 x 0,15.21
Netherlands x Japan,1 x 1,13.09
Netherlands x Sweden,2 x 0,10.26
Netherlands x Tunisia,2 x 0,12.87
Paraguay x Australia,0 x 0,22.16
Paraguay x Türkiye,0 x 1,15.32
Portugal x Colombia,1 x 1,11.18
Portugal x DR Congo,2 x 0,10.93
Portugal x Uzbekistan,2 x 1,9.74
Qatar x Switzerland,0 x 2,10.01
Saudi Arabia x Uruguay,0 x 1,19.62
Senegal x Iraq,1 x 0,16.64
Senegal x Norway,1 x 1,12.65
South Africa x Czechia,1 x 1,11.12
South Africa x South Korea,0 x 1,12.08
South Korea x Czechia,1 x 0,10.84
Spain x Cabo Verde,4 x 0,10.86
Spain x Saudi Arabia,3 x 0,13.96
Spain x Uruguay,1 x 0,11.33
Sweden x Tunisia,1 x 1,11.73
USA x Australia,1 x 1,12.79
USA x Paraguay,1 x 0,13.59
USA x Türkiye,1 x 1,10.39
Uzbekistan x Colombia,0 x 1,13.57
