Jogador,Gols_Simulados,Gols_Medios_Torneio
Kylian Mbappé (France),228052,4.56
Harry Kane (England),213825,4.28
Brahim Díaz (Morocco),173141,3.46
Erling Haaland (Norway),161252,3.23
Mehdi Taremi (Iran),161244,3.22
Cristiano Ronaldo (Portugal),153972,3.08
Mikel Oyarzabal (Spain),144205,2.88
Ayase Ueda (Japan),141728,2.83
Breel Embolo (Switzerland),133925,2.68
Lionel Messi (Argentina),127052,2.54
Jonathan David (Canada),120028,2.4
Mikel Merino (Spain),117684,2.35
Cody Gakpo (Netherlands),109871,2.2
Sadio Mané (Senegal),107283,2.15
Romelu Lukaku (Belgium),106917,2.14
Son Heung-min (South Korea),104385,2.09
Raúl Jiménez (Mexico),103687,2.07
Mohamed Salah (Egypt),98155,1.96
Luis Díaz (Colombia),82142,1.64
Andrej Kramarić (Croatia),80199,1.6
Memphis Depay (Netherlands),79184,1.58
Michael Gregoritsch (Austria),77456,1.55
Almoez Ali (Qatar),74822,1.5
Dani Olmo (Spain),74472,1.49
Viktor Gyökeres (Sweden),72317,1.45
Lautaro Martínez (Argentina),71770,1.44
Vinícius Júnior (Brazil),69309,1.39
Ferran Torres (Spain),68189,1.36
Bruno Fernandes (Portugal),67257,1.35
Kai Havertz (Germany),66579,1.33
