Jogador,Assists_Simuladas,Assists_Medias_Torneio
Lamine Yamal (Spain),13196,6.6
Mikel Oyarzabal (Spain),9420,4.71
Joshua Kimmich (Germany),7711,3.86
Nico Williams (Spain),7559,3.78
Achraf Hakimi (Morocco),7519,3.76
Fabián Ruiz (Spain),6640,3.32
Ferran Torres (Spain),6569,3.28
Florian Wirtz (Germany),6216,3.11
Bruno Fernandes (Portugal),5648,2.82
Jérémy Doku (Belgium),5180,2.59
Kylian Mbappé (France),5047,2.52
Lionel Messi (Argentina),4999,2.5
Vinícius Júnior (Brazil),4882,2.44
Junya Ito (Japan),4794,2.4
Takefusa Kubo (Japan),4773,2.39
Alexis Saelemaekers (Belgium),4711,2.36
Ivan Perišić (Croatia),4607,2.3
Nicolás González (Argentina),4607,2.3
James Rodríguez (Colombia),4518,2.26
Lucas Paquetá (Brazil),4478,2.24
Declan Rice (England),4422,2.21
Denzel Dumfries (Netherlands),4394,2.2
Nuno Mendes (Portugal),4389,2.19
Marcel Sabitzer (Austria),4387,2.19
Saman Ghoddos (Iran),4068,2.03
Maximiliano Araújo (Uruguay),4001,2.0
Leroy Sané (Germany),3997,2.0
Marc Guéhi (England),3974,1.99
Azzedine Ounahi (Morocco),3861,1.93
Pedri (Spain),3848,1.92
