time_referencia,competicao,event_id,data_jogo,status,time_casa,time_fora,resultado,formacao_casa,formacao_fora,titulares_casa,titulares_fora,substituicoes,gols,assistencias,cartoes,posse_casa,posse_fora,finalizacoes_casa,finalizacoes_fora
Goias,Serie B 2026,401874005,2026-07-18T19:00Z,STATUS_FULL_TIME,Ponte Preta,Goiás,1 x 2,3-5-1-1,4-2-3-1,"Guilherme Viana, Diego Monteiro Leão, Lucas Cunha, Sergio Palacios, Miguel, Juan Rodrigues Leopoldino, Danilo Barcelos, Kevyson, Julio De Oliveira, David Conceição, Élvis","Thiago Rodrigues, Ramon Menezes, Luiz Felipe, Silva, Rodrigo Alves, Lucas Lima, Juninho, Machado, Cadu, Kadu, Jean Carlos Alves Ferreira","45' Substitution, Ponte Preta. Baianinho replaces Juan.; 45' Substitution, Ponte Preta. Brandão replaces David da Hora.; 57' Substitution, Goiás. Lucas Ribeiro replaces Ramon.; 58' Substitution, Ponte Preta. Diego Porfírio replaces Miguel.; 66' Substitution, Goiás. Luisão replaces Rodrigo Soares.; 67' Substitution, Goiás. Nicolas replaces Djalma Silva.; 67' Substitution, Goiás. Lourenço replaces Lucas Lima.; 74' Substitution, Ponte Preta. Nicolas Silva replaces Diego Leão.; 82' Substitution, Goiás. Gegê replaces Jean Carlos.; 86' Substitution, Ponte Preta. Rodriguinho replaces Julio.",CASA[45'+2' Élvis] FORA[7' Kadu; 45'+3' Kadu],CASA[] FORA[Cadu; Lucas Lima],23' [amarelo] Sergio Palacios (Ponte Preta) is shown the yellow card for a bad foul.; 24' [amarelo] Ramon (Goiás) is shown the yellow card for a bad foul.; 82' [amarelo] Lucas Ribeiro (Goiás) is shown the yellow card.,46,54,14,8
Goias,Serie B 2026,401874000,2026-07-12T22:00Z,STATUS_FULL_TIME,CRB,Goiás,2 x 2,4-1-4-1,4-2-3-1,"Vitor Caetano, Fábio Augusto Schirmann, Henri Santos, Patrick de Lucca, Lucas Lovat, Hereda, Crystopher, Pedro Castro, Dadá, Thiago Fernandes, Mikael","Thiago Rodrigues, Ramon Menezes, Luiz Felipe, Silva, Rodrigo Alves, Lucas Lima, Guilherme Baldória, Juninho, Cadu, Kadu, Jean Carlos Alves Ferreira","45' Substitution, CRB. Danielzinho replaces De Lucca.; 45' Substitution, CRB. Bressan replaces Henri.; 67' Substitution, Goiás. Diego Caito replaces Jean Carlos.; 67' Substitution, Goiás. Anselmo Ramon replaces Cadu.; 67' Substitution, CRB. Geovane replaces Crystopher.; 79' Substitution, Goiás. Nicolas replaces Djalma Silva.; 79' Substitution, Goiás. Lourenço replaces Guilherme Baldória.; 81' Substitution, CRB. Lyncon replaces Fábio Alemão because of an injury.; 86' Substitution, CRB. Douglas Baggio replaces Thiaguinho.; 86' Substitution, Goiás. Esli García replaces Kadu.",CASA[70' Thiaguinho; 74' Mikael] FORA[39' Kadu; 45' Cadu],CASA[Mikael] FORA[Rodrigo Soares],37' [amarelo] De Lucca (CRB) is shown the yellow card for a bad foul.; 44' [amarelo] Henri (CRB) is shown the yellow card.; 90'+3' [amarelo] Lucas Lovat (CRB) is shown the yellow card.,47,53,21,4
Goias,Serie B 2026,401873981,2026-07-04T23:00Z,STATUS_FULL_TIME,Goiás,Ceará,2 x 0,4-2-3-1,3-4-2-1,"Thiago Rodrigues, Ramon Menezes, Luiz Felipe, Silva, Rodrigo Alves, Lucas Lima, Juninho, Machado, Cadu, Kadu, Jean Carlos Alves Ferreira","Richard, Luiz Otávio, Éder, Júlio César, João Gabriel, Richardson, Fernando, Bryan, Lucca, Matheuzinho, Melk","26' Substitution, Goiás. Guilherme Baldória replaces Filipe Machado because of an injury.; 58' Substitution, Goiás. Diego Caito replaces Jean Carlos.; 65' Substitution, Ceará. Enzo replaces Luizão.; 65' Substitution, Ceará. Wendel replaces Lucca.; 69' Substitution, Goiás. Lucas Ribeiro replaces Rodrigo Soares.; 69' Substitution, Goiás. Nicolas replaces Djalma Silva.; 69' Substitution, Goiás. Anselmo Ramon replaces Cadu.; 74' Substitution, Ceará. Matheus Araújo replaces Richardson.; 75' Substitution, Ceará. Kauã Ziegler replaces Bryan.; 82' Substitution, Ceará. Rafael Ramos replaces Fernando.",CASA[11' Kadu; 80' Juninho] FORA[],CASA[Lucas Lima; Anselmo Ramon] FORA[],22' [amarelo] Filipe Machado (Goiás) is shown the yellow card for a bad foul.; 46' [amarelo] Bryan (Ceará) is shown the yellow card for a bad foul.; 67' [amarelo] Kadu (Goiás) is shown the yellow card for a bad foul.,38.4,61.6,5,16
Goias,Serie B 2026,401873973,2026-06-28T21:30Z,STATUS_FULL_TIME,Náutico,Goiás,0 x 1,4-2-3-1,4-2-3-1,"Muriel, Igor, Gabriel Índio, Léo Jance, Reginaldo, Vinicius Rodrigues, Wenderson, Luiz Felipe Oliveira De Paula, Derek, Felipe, Vinícius","Thiago Rodrigues, Ramon Menezes, Luiz Felipe, Silva, Rodrigo Alves, Lucas Lima, Luquinhas, Machado, Cadu, Kadu, Jean Carlos Alves Ferreira","45' Substitution, Náutico. Victor Andrade replaces Felipe Saraiva.; 58' Substitution, Náutico. Matheus Ribeiro replaces Reginaldo.; 58' Substitution, Náutico. Luiz Claudio replaces Derek.; 62' Substitution, Goiás. Diego Caito replaces Jean Carlos.; 63' Substitution, Goiás. Guilherme Baldória replaces Lucas Rodrigues because of an injury.; 69' Substitution, Náutico. Wanderson replaces Gabriel Índio.; 70' Substitution, Náutico. Luiz Paulo replaces Léo Jance.; 71' Substitution, Goiás. Luisão replaces Djalma Silva.; 71' Substitution, Goiás. Halerrandrio replaces Kadu because of an injury.; 82' Substitution, Goiás. Juninho replaces Cadu.",CASA[] FORA[26' Djalma Silva],CASA[] FORA[Lucas Lima],90'+4' [amarelo] Rodrigo Soares (Goiás) is shown the yellow card for a bad foul.; 90'+7' [amarelo] Luiz Felipe (Náutico) is shown the yellow card for a bad foul.,61.9,38.1,27,16
Goias,Serie B 2026,401873951,2026-06-21T21:30Z,STATUS_FULL_TIME,Goiás,Operário PR,0 x 3,4-1-2-1-2,4-4-1-1,"Thiago Rodrigues, Ramon Menezes, Luiz Felipe, Machado, Nicolas, Diego Caito, Lucas Lima, Guilherme Baldória, Juninho, Esli Garcia, Anselmo Ramon","Vagner da Silva, Miranda, José Cuenú, Gabriel Feliciano, Mikael, Vinícius Diniz, Trindade, Aylon, Hildeberto Pereira, Pablo, Gabriel Boschilia","45' Substitution, Goiás. Rodrigo Soares replaces Diego Caito.; 45' Substitution, Goiás. Pedrinho replaces Guilherme Baldória.; 45' Substitution, Goiás. Cadu replaces Anselmo Ramon.; 45' Substitution, Goiás. Brayann replaces Lucas Lima.; 63' Substitution, Operário PR. Neto Paraíba replaces Hildeberto.; 73' Substitution, Operário PR. Felipe Augusto replaces Aylon.; 78' Substitution, Operário PR. Maguinho replaces Doka.; 78' Substitution, Operário PR. Caio Dantas replaces Pablo.; 84' Substitution, Goiás. João Assis replaces Juninho.",CASA[] FORA[6' Hildeberto; 41' Vinícius Diniz; 45'+3' Hildeberto],CASA[] FORA[Doka; Gabriel Feliciano; Pablo],65' [amarelo] Vinícius Diniz (Operário PR) is shown the yellow card.; 67' [amarelo] Nicolas (Goiás) is shown the yellow card for a bad foul.; 76' [amarelo] Pablo (Operário PR) is shown the yellow card for a bad foul.,59.3,40.7,17,10
Goias,Serie B 2026,401873962,2026-06-14T19:00Z,STATUS_FULL_TIME,Athletic,Goiás,1 x 1,4-1-4-1,4-1-2-1-2,"Luan Polli, Lucas Belezi, Jhonatan, João Miguel Da Costa Pereira, Zeca, Diogo Batista, Kauan, Jota, Dixon Vera, Max, Ian Luccas","Thiago Rodrigues, Lucas Ribeiro, Luiz Felipe, Machado, Silva, Diego Caito, Lucas Lima, Luquinhas, Juninho, Esli Garcia, Kadu","57' Substitution, Athletic Club MG. Marcelo Henrique replaces Jhonatan Silva.; 57' Substitution, Athletic Club MG. Bruninho replaces Dixon Vera.; 57' Substitution, Athletic Club MG. Gabriel Moysés replaces Zeca.; 61' Substitution, Goiás. Jean Carlos replaces Esli García.; 64' Substitution, Athletic Club MG. Gustavinho replaces Max.; 70' Substitution, Goiás. Anselmo Ramon replaces Lucas Lima.; 71' Substitution, Goiás. Brayann replaces Juninho.; 78' Substitution, Athletic Club MG. Felipe Vieira replaces Bruninho.; 80' Substitution, Goiás. Rodrigo Soares replaces Diego Caito.; 80' Substitution, Goiás. Halerrandrio replaces Kadu.",CASA[67' Kauan Rodrigues] FORA[45'+3' Esli García],CASA[Jota] FORA[],24' [amarelo] Luiz Felipe (Goiás) is shown the yellow card.; 25' [amarelo] Max (Athletic Club MG) is shown the yellow card.; 25' [amarelo] Lucas Rodrigues (Goiás) is shown the yellow card.; 37' [amarelo] Djalma Silva (Goiás) is shown the yellow card for a bad foul.; 38' [amarelo] Zeca (Athletic Club MG) is shown the yellow card.; 53' [amarelo] Jhonatan Silva (Athletic Club MG) is shown the yellow card for a bad foul.; 77' [vermelho] Jota (Athletic Club MG) is shown the red card.; 90'+3' [amarelo] Ian Luccas (Athletic Club MG) is shown the yellow card.,56.2,43.8,16,8
Goias,Serie B 2026,401873961,2026-06-10T23:00Z,STATUS_FULL_TIME,Goiás,Novorizontino,0 x 4,4-2-3-1,4-2-3-1,"Thiago Rodrigues, Lucas Ribeiro, Luis Fellipe, Nicolas, Diego Caito, Lucas Lima, Machado, Juninho, Anselmo Ramon, Esli Garcia, Bruno Sávio","Jordi, Patrick, Carlinhos, Maykon, Nilson Castrillón, Rômulo Simão, Leo Naldi, Matheus Bianqui, Robson, Diego Galo, Vinicius Paiva","28' Substitution, Novorizontino. Gabriel Bahia replaces Carlinhos because of an injury.; 55' Substitution, Goiás. Jean Carlos replaces Bruno Sávio.; 55' Substitution, Goiás. Brayann replaces Juninho.; 78' Substitution, Novorizontino. Juninho replaces Diego Galo.; 78' Substitution, Novorizontino. Luís Oyama replaces Matheus Bianqui.; 78' Substitution, Novorizontino. Hélio Borges replaces Vinícius Paiva.; 78' Substitution, Goiás. Rodrigo Soares replaces Diego Caito.; 78' Substitution, Goiás. Djalma Silva replaces Nicolas.; 84' Substitution, Novorizontino. Carlão replaces Robson.; 86' Substitution, Goiás. Guilherme Baldória replaces Filipe Machado.",CASA[] FORA[32' Robson; 56' Robson; 70' Rômulo; 76' Vinícius Paiva],CASA[] FORA[Rômulo; Nilson Castrillón; Rômulo],45'+4' [amarelo] Nicolas (Goiás) is shown the yellow card for a bad foul.; 67' [amarelo] Robson (Novorizontino) is shown the yellow card.; 67' [amarelo] Lucas Ribeiro (Goiás) is shown the yellow card.,70.9,29.1,22,14
Goias,Serie B 2026,401873876,2026-05-30T19:00Z,STATUS_FULL_TIME,Atlético Goianiense,Goiás,1 x 1,4-2-3-1,3-4-1-2,"Paulo Vítor, Adriano Martins, Gebson, Guilherme Almeida, Natã, Marrony, Cristiano, Indio, Gustavo Coutinho, Geovany Soares, Ewerton","Thiago Rodrigues, Lucas Ribeiro, Machado, Ramon Menezes, Lucas Lima, Luquinhas, Kadu, Nicolas, Diego Caito, Silva, Anselmo Ramon","45' Substitution, Goiás. Lourenço replaces Kadu.; 45' Substitution, Goiás. Esli García replaces Djalma Silva.; 52' Substitution, Atlético Goianiense. Guilherme Marques replaces Natã Felipe.; 66' Substitution, Goiás. Luiz Felipe replaces Lucas Lima.; 80' Substitution, Atlético Goianiense. Igor Henrique replaces Cristiano.; 84' Substitution, Goiás. Bruno Sávio replaces Anselmo Ramon.; 90'+1' Substitution, Goiás. Juninho replaces Lucas Rodrigues.; 90'+3' Substitution, Atlético Goianiense. Léo Jacó replaces Matheus Índio.",CASA[73' Guilherme Marques] FORA[47' Anselmo Ramon],CASA[] FORA[Esli García],70' [amarelo] Thiago Rodrigues (Goiás) is shown the yellow card for a bad foul.; 74' [amarelo] Cristiano (Atlético Goianiense) is shown the yellow card for a bad foul.; 81' [amarelo] Guilherme Lopes (Atlético Goianiense) is shown the yellow card for a bad foul.; 85' [amarelo] Esli García (Goiás) is shown the yellow card.; 87' [amarelo] Lucas Rodrigues (Goiás) is shown the yellow card.; 88' [amarelo] Marrony (Atlético Goianiense) is shown the yellow card for a bad foul.; 90'+4' [amarelo] Gustavo Coutinho (Atlético Goianiense) is shown the yellow card for a bad foul.,54,46,18,6
Goias,Serie B 2026,401860152,2026-05-24T22:00Z,STATUS_FULL_TIME,Avaí,Goiás,0 x 2,4-2-3-1,4-3-1-2,"Leó Aragão, Bruno Baldini, Allyson, Mateus Quaresma, Wesley, Luiz Henrique, Zé Ricardo, Paulo Vitor, Bilu, João Vitor Oliveira, Daniel Penha","Thiago Rodrigues, Ramon Menezes, Lucas Ribeiro, Nicolas, Diego Caito, Kadu, Guilherme Baldória, Lucas Lima, Gegê, Luquinhas, Jean Carlos Alves Ferreira","45' Substitution, Avaí. Walace França replaces Sorriso.; 45' Substitution, Avaí. Thayllon replaces Rafael Bilu.; 45' Substitution, Goiás. Esli García replaces Jean Carlos.; 45' Substitution, Goiás. Anselmo Ramon replaces Guilherme Baldória.; 54' Substitution, Goiás. Djalma Silva replaces Nicolas.; 68' Substitution, Goiás. Bruno Sávio replaces Kadu.; 70' Substitution, Avaí. Jean Lucas replaces Luiz Henrique.; 80' Substitution, Goiás. Juninho replaces Gegê because of an injury.; 80' Substitution, Avaí. Wenderson replaces Zé Ricardo.; 80' Substitution, Avaí. Wallison replaces Quaresma.",CASA[] FORA[71' Bruno Sávio; 78' Anselmo Ramon],CASA[] FORA[Esli García; Diego Caito],44' [vermelho] Daniel Penha (Avaí) is shown the red card for violent conduct.; 47' [amarelo] Nicolas (Goiás) is shown the yellow card for a bad foul.; 73' [amarelo] Lucas Lima (Goiás) is shown the yellow card for a bad foul.; 75' [amarelo] Jean Lucas (Avaí) is shown the yellow card for a bad foul.,34.8,65.2,7,12
Goias,Serie B 2026,401860144,2026-05-16T21:30Z,STATUS_FULL_TIME,Goiás,Botafogo-SP,1 x 0,4-2-3-1,4-2-3-1,"Thiago Rodrigues, Lucas Ribeiro, Luis Fellipe, Nicolas, Diego Caito, Lourenco, Machado, Luquinhas, Anselmo Ramon, Gegê, Jean Carlos Alves Ferreira","Jordan, Vilar, Guilherme Mariano, Patrick Brey, Gabriel Inocencio, Rafael Gava, Matheus Sales, Everton Morelli, Luiz Guilherme Vieira Da Silva, Kelvin, Marco Antônio","45' Substitution, Botafogo SP. Guilherme Queiróz replaces Luizão.; 45' Substitution, Goiás. Esli García replaces Gegê.; 45' Substitution, Goiás. Kadu replaces Jean Carlos.; 69' Substitution, Goiás. Brayann replaces Lucas Rodrigues.; 70' Substitution, Botafogo SP. Thiago Moraes replaces Rafael Gava.; 75' Substitution, Goiás. Rodrigo Soares replaces Diego Caito.; 77' Substitution, Botafogo SP. Márcio Maranhão replaces Kelvin.; 77' Substitution, Botafogo SP. Zé Hugo replaces Marco Antônio.; 83' Substitution, Botafogo SP. Jefferson Nem replaces Everton Morelli because of an injury.; 85' Substitution, Goiás. Djalma Silva replaces Nicolas.",CASA[73' Kadu] FORA[],CASA[Esli García] FORA[],28' [amarelo] Jordan (Botafogo SP) is shown the yellow card.; 45' [amarelo] Patrick Brey (Botafogo SP) is shown the yellow card for a bad foul.; 51' [amarelo] Kadu (Goiás) is shown the yellow card for a bad foul.; 70' [amarelo] Vilar (Botafogo SP) is shown the yellow card.; 85' [amarelo] Esli García (Goiás) is shown the yellow card.; 90' [amarelo] Filipe Machado (Goiás) is shown the yellow card for a bad foul.; 90'+3' [amarelo] Djalma Silva (Goiás) is shown the yellow card.,55.2,44.8,17,7
