time_referencia,competicao,event_id,data_jogo,status,time_casa,time_fora,resultado,formacao_casa,formacao_fora,titulares_casa,titulares_fora,substituicoes,gols,assistencias,cartoes,posse_casa,posse_fora,finalizacoes_casa,finalizacoes_fora
Sport,Serie B 2026,401874007,2026-07-18T19:00Z,STATUS_FULL_TIME,Sport,Operário PR,2 x 2,4-3-3,4-3-3,"Thiago Couto, Habraão, Marcelo Benevenuto, Felipinho, Augusto Pucci, José Gabriel, Fábio Matheus, Biel, Pedro Perotti, Marlon, Chrystian","Vagner da Silva, Miranda, José Cuenú, Gabriel Feliciano, Mikael, Trindade, Paraíba, Vinícius Diniz, Caio Dantas, Aylon, Hildeberto Pereira","32' Substitution, Operário PR. Felipe Augusto replaces Hildeberto because of an injury.; 68' Substitution, Sport Recife. Pedro Martins replaces Fábio Matheus because of an injury.; 72' Substitution, Operário PR. Vinícius Mingotti replaces Aylon.; 72' Substitution, Operário PR. Pedro Vilhena replaces Caio Dantas.; 81' Substitution, Sport Recife. Edson Lucas replaces Marlon Douglas.; 81' Substitution, Sport Recife. Zé Roberto replaces Perotti.; 83' Substitution, Operário PR. Índio replaces Matheus Trindade.; 83' Substitution, Operário PR. Maguinho replaces Neto Paraíba.; 88' Substitution, Sport Recife. Diego Hernández replaces Biel.",CASA[17' Biel; 48' Fábio Matheus] FORA[6' Aylon; 86' Vinícius Diniz],CASA[Biel] FORA[Hildeberto; Gabriel Feliciano],40' [amarelo] Benevenuto (Sport Recife) is shown the yellow card for a bad foul.; 44' [amarelo] Zé Gabriel (Sport Recife) is shown the yellow card for a bad foul.; 60' [amarelo] Doka (Operário PR) is shown the yellow card.; 62' [amarelo] Chrystian Barletta (Sport Recife) is shown the yellow card for a bad foul.; 72' [amarelo] Biel (Sport Recife) is shown the yellow card for a bad foul.; 75' [amarelo] Marlon Douglas (Sport Recife) is shown the yellow card for a bad foul.; 88' [amarelo] Edson Lucas (Sport Recife) is shown the yellow card for a bad foul.; 90'+2' [amarelo] Vinícius Diniz (Operário PR) is shown the yellow card.,55.4,44.6,23,16
Sport,Serie B 2026,401860223,2026-07-10T23:00Z,STATUS_FULL_TIME,Sport,Botafogo-SP,3 x 3,4-3-1-2,4-1-4-1,"Thiago Couto, Habraão, Marcelo Benevenuto, Felipinho, Mádson, Marlon, Zé Lucas, Chrystian, Fábio Matheus, Biel, Pedro Perotti","Victor Souza, Vilar, Ericson, Matheus Sales, Patrick Brey, Yuri, Rafael Gava, Everton Morelli, Kelvin, Hugo, Hygor","45' Substitution, Sport Recife. Clayson replaces Marlon Douglas.; 45' Substitution, Sport Recife. Zé Gabriel replaces Zé Lucas.; 45' Substitution, Sport Recife. Augusto Pucci replaces Madson.; 65' Substitution, Sport Recife. Yago Felipe replaces Fábio Matheus.; 69' Substitution, Botafogo SP. Felipe Vieira replaces Kelvin.; 69' Substitution, Botafogo SP. Leandro Maciel replaces Matheus Sales.; 70' Substitution, Botafogo SP. Guilherme Queiróz replaces Hygor.; 79' Substitution, Botafogo SP. Wallace replaces Rafael Gava.; 82' Substitution, Sport Recife. Zé Roberto replaces Biel.; 89' Substitution, Botafogo SP. Wesley replaces Zé Hugo.",CASA[47' Chrystian Barletta; 64' Benevenuto; 90'+6' Chrystian Barletta] FORA[25' Zé Hugo; 42' Rafael Gava; 76' Patrick Brey],CASA[Clayson] FORA[Everton Morelli; Rafael Gava],27' [amarelo] Rafael Gava (Botafogo SP) is shown the yellow card for a bad foul.; 38' [amarelo] Zé Lucas (Sport Recife) is shown the yellow card for a bad foul.; 45'+4' [amarelo] Matheus Sales (Botafogo SP) is shown the yellow card for a bad foul.; 54' [amarelo] Habraão (Sport Recife) is shown the yellow card for a bad foul.; 73' [amarelo] Felipe Vieira (Botafogo SP) is shown the yellow card.; 90'+4' [amarelo] Leandro Maciel (Botafogo SP) is shown the yellow card for a bad foul.; 90'+9' [vermelho] Clayson (Sport Recife) is shown the red card for violent conduct.,71.1,28.9,20,11
Sport,Serie B 2026,401873994,2026-07-04T19:00Z,STATUS_FULL_TIME,Criciúma,Sport,1 x 0,3-4-3,3-4-3,"Airton, Rodrigo, Luciano Castan, César, Gui Lobo, Thiaguinho, Marcelo Hermes, Willean Lepu, Waguininho, Fellipe Mateus, Rómulo Otero","Thiago Couto, Marcelo Benevenuto, Ze Marcos, Marcelo, Biel, Pedro, Felipinho, Mádson, Pedro Perotti, Carlos De Peña, Chrystian","45' Substitution, Criciúma. Jean Irmer replaces Thiaguinho.; 45' Substitution, Sport Recife. Fábio Matheus replaces Pedro Martins.; 45' Substitution, Sport Recife. Iury Castilho replaces Carlos de Pena.; 63' Substitution, Criciúma. Bruno Alves replaces César Martins.; 63' Substitution, Criciúma. Jhonata Robert replaces Rómulo Otero.; 77' Substitution, Sport Recife. Marlon Douglas replaces Marcelo Ajul.; 79' Substitution, Criciúma. Romarinho replaces Waguininho.; 83' Substitution, Sport Recife. Yago Felipe replaces Biel.; 83' Substitution, Sport Recife. Augusto Pucci replaces Madson.; 90'+3' Substitution, Criciúma. Cauê replaces Gui Lobo.",CASA[29' Waguininho] FORA[],CASA[] FORA[],3' [amarelo] Thiaguinho (Criciúma) is shown the yellow card for a bad foul.; 32' [amarelo] Waguininho (Criciúma) is shown the yellow card.; 33' [amarelo] Benevenuto (Sport Recife) is shown the yellow card for a bad foul.; 35' [amarelo] Pedro Martins (Sport Recife) is shown the yellow card.; 51' [amarelo] Chrystian Barletta (Sport Recife) is shown the yellow card.; 57' [amarelo] César Martins (Criciúma) is shown the yellow card for a bad foul.; 59' [amarelo] Jean Irmer (Criciúma) is shown the yellow card for a bad foul.,45.5,54.5,10,14
Sport,Serie B 2026,401873971,2026-06-28T21:30Z,STATUS_FULL_TIME,Fortaleza,Sport,2 x 1,4-1-4-1,4-1-4-1,"João Ricardo, Luan, Emanuel Britez, Pierre, Gabriel Fuentes, Maurício Júnior, Rodrigo Santos, Lucas Sasha, Luiz Fernando, Vitinho, Juan Miritello","Thiago Couto, Ze Marcos, Marcelo Benevenuto, Zé Lucas, Felipinho, Mádson, Fábio Matheus, Biel, Iury, Chrystian, Pedro Perotti","45' Substitution, Sport Recife. Pedro Martins replaces Zé Lucas because of an injury.; 62' Substitution, Fortaleza. Welliton replaces Vitinho.; 72' Substitution, Fortaleza. Lucas Crispim replaces Rodrigo.; 73' Substitution, Fortaleza. Ryan Gustavo replaces Lucas Sasha.; 76' Substitution, Sport Recife. Zé Gabriel replaces Biel.; 76' Substitution, Sport Recife. Marlon Douglas replaces Chrystian Barletta.; 83' Substitution, Fortaleza. Gazal replaces Emanuel Brítez.; 83' Substitution, Fortaleza. Lucca Prior replaces Pierre.; 86' Substitution, Sport Recife. Yago Felipe replaces Fábio Matheus.; 86' Substitution, Sport Recife. Clayson replaces Iury Castilho.",CASA[28' Rodrigo; 90'+5' Welliton] FORA[69' Perotti],CASA[Luan Freitas; Juan Miritello] FORA[],57' [amarelo] Vitinho (Fortaleza) is shown the yellow card for a bad foul.; 57' [amarelo] Felipinho (Sport Recife) is shown the yellow card for a bad foul.; 58' [amarelo] Benevenuto (Sport Recife) is shown the yellow card.; 58' [amarelo] Juan Miritello (Fortaleza) is shown the yellow card.; 73' [amarelo] Maurício Mucuri (Fortaleza) is shown the yellow card for a bad foul.,40,60,12,16
Sport,Serie B 2026,401873945,2026-06-19T00:00Z,STATUS_FULL_TIME,Sport,Atlético Goianiense,1 x 1,4-2-3-1,4-2-3-1,"Thiago Couto, Ze Marcos, Marcelo Benevenuto, Felipinho, Augusto Pucci, Yago Felipe, Zé Lucas, Biel, Pedro Perotti, Iury, Chrystian","Paulo Henrique, Adriano Martins, Gebson, Guilherme Almeida, Ewerton, Guilherme, Leandro Vilela, Cristiano, Marrony, Geovany Soares, Bruno José","45' Substitution, Atlético Goianiense. Léo Jacó replaces Leandro Vilela.; 58' Substitution, Sport Recife. Marlon Douglas replaces Augusto Pucci.; 63' Substitution, Atlético Goianiense. Felipe Guimarães replaces Bruno José.; 70' Substitution, Sport Recife. Pedro Martins replaces Zé Lucas.; 70' Substitution, Sport Recife. Carlos de Pena replaces Iury Castilho.; 79' Substitution, Sport Recife. Fábio Matheus replaces Biel.; 79' Substitution, Atlético Goianiense. Gabriel Dias replaces Ewerthon.; 79' Substitution, Atlético Goianiense. Klebert replaces Marrony.; 90'+1' Substitution, Atlético Goianiense. Assis replaces Guilherme Marques.",CASA[25' Perotti] FORA[90'+5' Léo Jacó],CASA[Felipinho] FORA[Tito],40' [amarelo] Augusto Pucci (Sport Recife) is shown the yellow card for a bad foul.; 85' [amarelo] Tito (Atlético Goianiense) is shown the yellow card for a bad foul.; 90' [amarelo] Guilherme Marques (Atlético Goianiense) is shown the yellow card for a bad foul.; 90'+5' [amarelo] Carlos de Pena (Sport Recife) is shown the yellow card.,56.4,43.6,10,13
Sport,Serie B 2026,401873947,2026-06-14T14:00Z,STATUS_FULL_TIME,São Bernardo,Sport,0 x 0,4-2-3-1,4-2-3-1,"Alex Alves, Augusto, Jemerson, Pará, Rodrigo Ferreira, Eduardo, Lino, Foguinho, Felipe Garcia, Echaporã, Pedro Vitor","Thiago Couto, Ze Marcos, Marcelo Benevenuto, Felipinho, Mádson, Yago Felipe, Zé Lucas, Biel, Pedro Perotti, Iury, Chrystian",45' Daniel Amorim (São Bernardo) Substitution at 45'; 45' Pedro (Sport) Substitution at 45'; 51' Luizão (São Bernardo) Substitution at 51'; 63' Marlon (Sport) Substitution at 63'; 63' Hugo (São Bernardo) Substitution at 63'; 63' Augusto Pucci (Sport) Substitution at 63'; 73' Wellington Jesus Cardoso (São Bernardo) Substitution at 73'; 74' Daniel Davi Simao Roque (São Bernardo) Substitution at 74'; 77' Carlos De Peña (Sport) Substitution at 77'; 85' Edson Pereira (Sport) Substitution at 85',CASA[] FORA[],CASA[] FORA[],45' [amarelo] Jemerson (São Bernardo) is shown the yellow card for a bad foul.; 49' [vermelho] Second yellow card to Jemerson (São Bernardo) for a bad foul.; 58' [amarelo] Madson (Sport Recife) is shown the yellow card for a bad foul.; 81' [amarelo] Marlon Douglas (Sport Recife) is shown the yellow card for a bad foul.; 90'+5' [amarelo] Iury Castilho (Sport Recife) is shown the yellow card.,36.1,63.9,9,23
Sport,Serie B 2026,401873941,2026-06-11T00:00Z,STATUS_FULL_TIME,Sport,Athletic,1 x 1,4-2-3-1,3-4-2-1,"Thiago Couto, Ze Marcos, Marcelo Benevenuto, Felipinho, Mádson, Chrystian, Fábio Matheus, Pedro, Pedro Perotti, Edson Pereira, Biel","Luan Polli, Lucas Belezi, Zeca, Jhonatan, João Miguel Da Costa Pereira, Gian Cabezas, Kauan, Diogo Batista, Ian Luccas, Dixon Vera, Max","45' Substitution, Sport Recife. Carlos de Pena replaces Edson Lucas.; 45' Substitution, Sport Recife. Augusto Pucci replaces Madson.; 57' Substitution, Athletic Club MG. Bruninho replaces Max.; 57' Substitution, Athletic Club MG. Ruan Assis replaces Dixon Vera.; 68' Substitution, Athletic Club MG. Douglas Pelé replaces Diogo Batista.; 79' Substitution, Sport Recife. Marlon Douglas replaces Biel.; 83' Substitution, Athletic Club MG. Gabriel Moysés replaces Ian Luccas.; 83' Substitution, Athletic Club MG. Jota replaces Gian Cabezas.; 86' Substitution, Sport Recife. Zé Gabriel replaces Pedro Martins.; 86' Substitution, Sport Recife. Max replaces Chrystian Barletta.",CASA[60' Augusto Pucci] FORA[66' Ian Luccas],CASA[Biel] FORA[Diogo Batista],73' [amarelo] Bruninho (Athletic Club MG) is shown the yellow card.; 73' [amarelo] Carlos de Pena (Sport Recife) is shown the yellow card.; 74' [amarelo] Jhonatan Siqueira (Athletic Club MG) is shown the yellow card.,66.4,33.6,19,8
Sport,Serie B 2026,401860170,2026-05-30T23:30Z,STATUS_FULL_TIME,Sport,Náutico,2 x 0,4-2-3-1,4-2-3-1,"Thiago Couto, Marcelo Benevenuto, Ze Marcos, Mádson, Edson Pereira, Zé Lucas, Biel, Clayson, Yago Felipe, Chrystian, Pedro Perotti","Muriel, Reginaldo, Mateus, Betão, Igor, Vinícius, Vinicius Rodrigues, Victor Andrade, Luiz Felipe Oliveira De Paula, Leonai, Paulo Sérgio","45' Substitution, Sport Recife. Iury Castilho replaces Clayson because of an injury.; 62' Substitution, Sport Recife. Pedro Martins replaces Yago Felipe.; 67' Substitution, Náutico. Yuri Silva replaces Betão.; 67' Substitution, Náutico. Arnaldo replaces Reginaldo.; 67' Substitution, Náutico. Júnior Todinho replaces Paulo Sérgio.; 76' Substitution, Náutico. Vitinho replaces Leonai.; 79' Substitution, Sport Recife. Carlos de Pena replaces Zé Lucas.; 79' Substitution, Sport Recife. Fábio Matheus replaces Perotti.; 79' Substitution, Sport Recife. Zé Gabriel replaces Biel.; 84' Substitution, Náutico. Derek replaces Victor Andrade.",CASA[28' Chrystian Barletta; 83' Chrystian Barletta] FORA[],CASA[Carlos de Pena] FORA[],21' [amarelo] Yago Felipe (Sport Recife) is shown the yellow card for a bad foul.; 23' [amarelo] Victor Andrade (Náutico) is shown the yellow card for a bad foul.; 26' [amarelo] Luiz Felipe (Náutico) is shown the yellow card for a bad foul.; 35' [amarelo] Zé Marcos (Sport Recife) is shown the yellow card for a bad foul.; 49' [amarelo] Zé Lucas (Sport Recife) is shown the yellow card for a bad foul.; 52' [amarelo] Paulo Sérgio (Náutico) is shown the yellow card.; 64' [amarelo] Iury Castilho (Sport Recife) is shown the yellow card.; 86' [amarelo] Chrystian Barletta (Sport Recife) is shown the yellow card.,39.6,60.4,8,19
Sport,Serie B 2026,401860156,2026-05-23T23:30Z,STATUS_FULL_TIME,Juventude,Sport,0 x 1,3-4-3,4-2-3-1,"Jandrei, Messias, Marcos Paulo, Rodrigo Sam, Lucas Mineiro, Raí, Diogo Barbosa, Nathan, Alan Kardec, Marcos Paulo, Fábio Lima","Thiago Couto, Ze Marcos, Marcelo Benevenuto, Felipinho, Mádson, Yago Felipe, Zé Lucas, Biel, Pedro Perotti, Clayson, Chrystian","66' Substitution, Juventude. Allanzinho replaces Marcos Paulo MP.; 71' Substitution, Sport Recife. Iury Castilho replaces Clayson.; 71' Substitution, Sport Recife. Pedro Martins replaces Biel.; 71' Substitution, Sport Recife. Augusto Pucci replaces Madson.; 75' Substitution, Juventude. Alisson Safira replaces Alan Kardec.; 76' Substitution, Juventude. Manuel Castro replaces Fábio Lima.; 83' Substitution, Juventude. Aderlan replaces Nathan.; 83' Substitution, Juventude. Wadson replaces Diogo Barbosa.; 90' Substitution, Sport Recife. Zé Gabriel replaces Yago Felipe.; 90'+4' Substitution, Sport Recife. Edson Lucas replaces Chrystian Barletta.",CASA[] FORA[82' Iury Castilho],CASA[] FORA[Chrystian Barletta],55' [amarelo] Biel (Sport Recife) is shown the yellow card for a bad foul.; 79' [amarelo] Messias (Juventude) is shown the yellow card for a bad foul.; 87' [amarelo] Perotti (Sport Recife) is shown the yellow card.; 90'+1' [amarelo] Felipinho (Sport Recife) is shown the yellow card.; 90'+6' [amarelo] Zé Lucas (Sport Recife) is shown the yellow card.,52.3,47.7,16,10
Sport,Serie B 2026,401860149,2026-05-17T23:30Z,STATUS_FULL_TIME,Sport,CRB,1 x 2,4-2-3-1,4-3-3,"Thiago Couto, Ze Marcos, Marcelo Benevenuto, Felipinho, Mádson, Carlos De Peña, Zé Lucas, Biel, Pedro Perotti, Clayson, Marlon","Vitor Caetano, Fábio Augusto Schirmann, Henri Santos, Lucas Lovat, Hereda, Patrick de Lucca, Crystopher, Pedro Castro, Mikael, Dadá, Thiago Fernandes","8' Substitution, Sport Recife. Gustavo Maia replaces Marlon Douglas because of an injury.; 45' Substitution, CRB. Danielzinho replaces De Lucca.; 60' Substitution, Sport Recife. Augusto Pucci replaces Madson.; 60' Substitution, Sport Recife. Iury Castilho replaces Gustavo Maia.; 75' Substitution, Sport Recife. Edson Lucas replaces Carlos de Pena.; 76' Substitution, Sport Recife. Yago Felipe replaces Clayson.; 79' Substitution, CRB. Luizão replaces Pedro Castro.; 83' Substitution, CRB. Luiz Phellype replaces Mikael.; 83' Substitution, CRB. Douglas Baggio replaces Thiaguinho.; 90' Substitution, CRB. Bressan replaces Dadá Belmonte.",CASA[78' Perotti] FORA[39' Mikael; 59' Danielzinho],CASA[Iury Castilho] FORA[],46' [amarelo] Lucas Lovat (CRB) is shown the yellow card for a bad foul.; 56' [amarelo] Madson (Sport Recife) is shown the yellow card for a bad foul.; 64' [amarelo] Fábio Alemão (CRB) is shown the yellow card for a bad foul.; 72' [amarelo] Hereda (CRB) is shown the yellow card.; 76' [amarelo] Zé Lucas (Sport Recife) is shown the yellow card for a bad foul.; 90' [amarelo] Danielzinho (CRB) is shown the yellow card.,55.7,44.3,13,12
