time,jogador,cartoes_amarelos,cartoes_vermelhos,jogos_titular
Goiás,Second yellow card to Nicolas,5,1,12
Goiás,Lucas Lima,4,0,16
Goiás,Filipe Machado,3,1,12
Goiás,Lucas Ribeiro,3,0,9
Goiás,Lucas Rodrigues,3,0,0
Goiás,Kadu,2,0,8
Goiás,Esli García,2,1,0
Goiás,Djalma Silva,2,0,7
Goiás,Rodrigo Soares,2,1,0
Goiás,Luiz Felipe,2,0,11
Goiás,Guilherme Baldória,2,0,6
Goiás,Second yellow card to Ramon,2,1,0
Goiás,Lourenço,2,0,0
Goiás,Diego Caito,1,0,6
Goiás,Bruno Sávio,1,0,1
Goiás,Thiago Rodrigues,1,0,10
Goiás,Luisão,1,0,0
Sport,Chrystian Barletta,6,0,16
Sport,Felipinho,4,0,17
Sport,Iury Castilho,4,1,6
Sport,Zé Lucas,4,0,14
Sport,Carlos de Pena,3,0,0
Sport,Marlon Douglas,3,0,3
Sport,Marcelo Benevenuto,3,0,14
Sport,Madson,3,0,0
Sport,Yago Felipe,3,0,8
Sport,Pedro Perotti,2,0,16
Sport,Biel,2,0,16
Sport,Augusto Pucci,2,0,6
Sport,Second yellow card to Marcelo Ajul,2,1,7
Sport,Zé Gabriel,2,0,0
Sport,Zé Marcos,2,0,0
Sport,Clayson,1,1,7
Sport,Habraão,1,0,3
Sport,Edson Lucas,1,0,0
Sport,Pedro Martins,1,0,0
