time,team_id,jogador,jogos_titular,gols,assistencias,participacoes_gol,entrou_como_reserva,foi_substituido,cartoes_amarelos,cartoes_vermelhos
Goiás,3395,Anselmo Ramon,10,5,2,7,6,6,0,0
Goiás,3395,Kadu,8,5,0,5,1,6,2,0
Goiás,3395,Esli García,0,2,3,5,7,2,2,1
Goiás,3395,Lucas Lima,16,0,3,3,1,9,4,0
Goiás,3395,Cadu,6,2,1,3,6,5,0,0
Goiás,3395,Gegê,10,2,0,2,1,7,0,0
Goiás,3395,Juninho,6,1,1,2,7,3,0,0
Goiás,3395,Diego Caito,6,0,2,2,6,4,1,0
Goiás,3395,Tadeu,8,1,0,1,0,0,0,0
Goiás,3395,Djalma Silva,7,1,0,1,6,6,2,0
Goiás,3395,Bruno Sávio,1,1,0,1,7,1,1,0
Goiás,3395,Rodrigo Soares,0,0,1,1,4,4,2,1
Goiás,3395,Jean Carlos Alves Ferreira,13,0,0,0,2,11,0,0
Goiás,3395,Filipe Machado,12,0,0,0,0,4,3,1
Goiás,3395,Second yellow card to Nicolas,12,0,0,0,3,6,5,1
Goiás,3395,Luiz Felipe,11,0,0,0,2,0,2,0
Goiás,3395,Rodrigo Alves,11,0,0,0,0,0,0,0
Goiás,3395,Thiago Rodrigues,10,0,0,0,0,0,1,0
Goiás,3395,Ramon Menezes,9,0,0,0,0,0,0,0
Goiás,3395,Lucas Ribeiro,9,0,0,0,4,1,3,0
Goiás,3395,Luquinhas,8,0,0,0,0,0,0,0
Goiás,3395,Luis Fellipe,8,0,0,0,0,0,0,0
Goiás,3395,Lourenco,7,0,0,0,0,0,0,0
Goiás,3395,Guilherme Baldória,6,0,0,0,6,6,2,0
Goiás,3395,Esli Garcia,4,0,0,0,0,0,0,0
Goiás,3395,Second yellow card to Ramon,0,0,0,0,0,1,2,1
Goiás,3395,Luisão,0,0,0,0,2,0,1,0
Goiás,3395,Lourenço,0,0,0,0,4,3,2,0
Goiás,3395,Lucas Rodrigues,0,0,0,0,1,5,3,0
Goiás,3395,Halerrandrio,0,0,0,0,2,0,0,0
Goiás,3395,Pedrinho,0,0,0,0,4,0,0,0
Goiás,3395,Brayann,0,0,0,0,6,0,0,0
Goiás,3395,João Assis,0,0,0,0,1,0,0,0
Goiás,3395,Murilo Camara,0,0,0,0,1,0,0,0
Sport,7635,Chrystian Barletta,16,8,3,11,0,6,6,0
Sport,7635,Pedro Perotti,16,7,0,7,1,3,2,0
Sport,7635,Felipinho,17,1,2,3,0,0,4,0
Sport,7635,Biel,16,1,2,3,1,12,2,0
Sport,7635,Carlos de Pena,0,1,2,3,8,4,3,0
Sport,7635,Augusto Pucci,6,1,1,2,8,4,2,0
Sport,7635,Iury Castilho,6,1,1,2,7,4,4,1
Sport,7635,Marlon Douglas,3,0,2,2,9,3,3,0
Sport,7635,Marcelo Benevenuto,14,1,0,1,0,0,3,0
Sport,7635,Clayson,7,0,1,1,5,7,1,1
Sport,7635,Fábio Matheus,4,1,0,1,3,3,0,0
Sport,7635,Madson,0,1,0,1,1,8,3,0
Sport,7635,Thiago Couto,18,0,0,0,0,0,0,0
Sport,7635,Zé Lucas,14,0,0,0,0,8,4,0
Sport,7635,Ze Marcos,12,0,0,0,0,0,0,0
Sport,7635,Mádson,11,0,0,0,0,0,0,0
Sport,7635,Yago Felipe,8,0,0,0,7,5,3,0
Sport,7635,José Gabriel,7,0,0,0,0,0,0,0
Sport,7635,Second yellow card to Marcelo Ajul,7,0,0,0,0,2,2,1
Sport,7635,Carlos De Peña,5,0,0,0,0,0,0,0
Sport,7635,Habraão,3,0,0,0,2,1,1,0
Sport,7635,Zé Roberto,2,0,0,0,2,2,0,0
Sport,7635,Pedro,2,0,0,0,0,0,0,0
Sport,7635,Edson Pereira,2,0,0,0,0,0,0,0
Sport,7635,Gustavo Maia,1,0,0,0,2,2,0,0
Sport,7635,Ramon Menezes,1,0,0,0,0,0,0,0
Sport,7635,Zé Gabriel,0,0,0,0,6,3,2,0
Sport,7635,Edson Lucas,0,0,0,0,3,1,1,0
Sport,7635,Pedro Martins,0,0,0,0,8,2,1,0
Sport,7635,Diego Hernández,0,0,0,0,1,0,0,0
Sport,7635,Max Alexandre,0,0,0,0,2,0,0,0
Sport,7635,Zé Marcos,0,0,0,0,1,1,2,0
Sport,7635,Patrick,0,0,0,0,1,0,0,0
Sport,7635,Micael,0,0,0,0,1,0,0,0
Sport,7635,Dedé,0,0,0,0,1,0,0,0
Sport,7635,Lipão,0,0,0,0,1,0,0,0
