event_id,data_jogo,time,mando,minuto,minuto_display,jogador_entrou,jogador_saiu,motivo
401860069,2026-03-21T23:30Z,Cuiabá,casa,45,45',David Miguel,Pepê,
401860069,2026-03-21T23:30Z,Cuiabá,casa,47,45'+2',Luís Soares,Vitor Mendes,an injury
401860069,2026-03-21T23:30Z,Cuiabá,casa,67,67',Weverson,Lorenzo,
401860069,2026-03-21T23:30Z,Sport,fora,72,72',Micael,Zé Roberto,
401860069,2026-03-21T23:30Z,Sport,fora,72,72',Dedé,Zé Lucas,
401860069,2026-03-21T23:30Z,Cuiabá,casa,78,78',Mateus Santos,Vinicius Peixoto,
401860069,2026-03-21T23:30Z,Cuiabá,casa,78,78',Nino Paraíba,Railan,
401860069,2026-03-21T23:30Z,Sport,fora,81,81',Clayson,Gustavo Maia,
401860069,2026-03-21T23:30Z,Sport,fora,81,81',Lipão,Iury Castilho,
401860069,2026-03-21T23:30Z,Sport,fora,87,87',Carlos de Pena,Yago Felipe,
401860068,2026-03-22T21:00Z,Goiás,casa,45,45',Guilherme Baldória,Jean Carlos,
401860068,2026-03-22T21:00Z,Goiás,casa,45,45',Murilo Camara,Lucas Lima,
401860068,2026-03-22T21:00Z,América Mineiro,fora,45,45',Paulinho,Artur,
401860068,2026-03-22T21:00Z,América Mineiro,fora,45,45',Willian,Yago,
401860068,2026-03-22T21:00Z,Goiás,casa,53,53',Juninho,Lourenço,an injury
401860068,2026-03-22T21:00Z,América Mineiro,fora,60,60',Matías Segovia,Gabriel Barros,
401860068,2026-03-22T21:00Z,América Mineiro,fora,60,60',Fernando Elizari,Eduardo Person,
401860068,2026-03-22T21:00Z,Goiás,casa,65,65',Cadu,Anselmo Ramon,
401860068,2026-03-22T21:00Z,América Mineiro,fora,71,71',Alê,Felipe Amaral,
401860068,2026-03-22T21:00Z,Goiás,casa,81,81',Djalma Silva,Nicolas,
401860073,2026-04-01T22:00Z,Sport,casa,35,35',Perotti,Zé Roberto,an injury
401860075,2026-04-01T22:00Z,Goiás,fora,45,45',Juninho,Guilherme Baldória,
401860075,2026-04-01T22:00Z,Londrina,casa,45,45',Weverton,André Dhominique,
401860073,2026-04-01T22:00Z,Vila Nova,fora,45,45',Willian Maranhão,Nathan Camargo,
401860073,2026-04-01T22:00Z,Vila Nova,fora,57,57',Elias,Hayner,
401860075,2026-04-01T22:00Z,Goiás,fora,62,62',Bruno Sávio,Jean Carlos,
401860075,2026-04-01T22:00Z,Goiás,fora,62,62',Esli García,Lucas Lima,
401860073,2026-04-01T22:00Z,Sport,casa,67,67',Carlos de Pena,Zé Gabriel,
401860075,2026-04-01T22:00Z,Goiás,fora,69,69',Diego Caito,Rodrigo Soares,
401860075,2026-04-01T22:00Z,Londrina,casa,75,75',Paulinho Moccelin,Vitinho,
401860075,2026-04-01T22:00Z,Goiás,fora,76,76',Cadu,Gegê,
401860073,2026-04-01T22:00Z,Sport,casa,77,77',Marlon Douglas,Yago Felipe,
401860073,2026-04-01T22:00Z,Sport,casa,77,77',Clayson,Chrystian Barletta,
401860073,2026-04-01T22:00Z,Sport,casa,77,77',Pedro Martins,Augusto Pucci,
401860073,2026-04-01T22:00Z,Vila Nova,fora,78,78',Bruno Xavier,Ryan Lima,
401860073,2026-04-01T22:00Z,Vila Nova,fora,78,78',Dodô,Janderson,
401860075,2026-04-01T22:00Z,Londrina,casa,81,81',Gabriel Lacerda,Thalis,
401860075,2026-04-01T22:00Z,Londrina,casa,81,81',Fabiano,Lucas Marques,an injury
401860075,2026-04-01T22:00Z,Londrina,casa,87,87',Juninho,Iago Teles,
401860073,2026-04-01T22:00Z,Vila Nova,fora,88,88',Dudu,Tiago Pagnussat,
401860084,2026-04-04T23:30Z,Sport,fora,45,45',Clayson,Zé Lucas,
401860084,2026-04-04T23:30Z,Londrina,casa,61,61',Paulinho Moccelin,Thalis,
401860084,2026-04-04T23:30Z,Sport,fora,62,62',Marlon Douglas,Yago Felipe,
401860084,2026-04-04T23:30Z,Londrina,casa,77,77',Caio Maia,Vitinho,
401860084,2026-04-04T23:30Z,Londrina,casa,77,77',Juninho,Iago Teles,
401860084,2026-04-04T23:30Z,Londrina,casa,83,83',Chumbinho,André Luiz,
401860084,2026-04-04T23:30Z,Sport,fora,88,88',Carlos de Pena,Chrystian Barletta,
401860084,2026-04-04T23:30Z,Sport,fora,95,90'+5',Pedro Martins,Augusto Pucci,an injury
401860085,2026-04-07T00:00Z,Criciúma,fora,45,45',Gui Lobo,Bruno Alves,
401860085,2026-04-07T00:00Z,Criciúma,fora,45,45',Hiago Alves,Marcinho,
401860085,2026-04-07T00:00Z,Goiás,casa,45,45',Cadu,Jean Carlos,
401860085,2026-04-07T00:00Z,Criciúma,fora,65,65',Thiaguinho,Fellipe Mateus,
401860085,2026-04-07T00:00Z,Criciúma,fora,66,66',Léo Mana,Jean Irmer,
401860085,2026-04-07T00:00Z,Criciúma,fora,71,71',Romarinho,Diego Gonçalves,
401860085,2026-04-07T00:00Z,Goiás,casa,82,82',Bruno Sávio,Anselmo Ramon,
401860085,2026-04-07T00:00Z,Goiás,casa,82,82',Lucas Ribeiro,Gegê,an injury
401860085,2026-04-07T00:00Z,Goiás,casa,82,82',Guilherme Baldória,Filipe Machado,
401860085,2026-04-07T00:00Z,Goiás,casa,88,88',Juninho,Lourenço,an injury
401860095,2026-04-11T19:00Z,Goiás,fora,45,45',Pedrinho,Lucas Lima,
401860095,2026-04-11T19:00Z,Goiás,fora,45,45',Esli García,Anselmo Ramon,
401860095,2026-04-11T19:00Z,Juventude,casa,66,66',Alisson Safira,Rodrigo Sam,
401860095,2026-04-11T19:00Z,Juventude,casa,66,66',Lucas Mineiro,Raí Ramos,
401860095,2026-04-11T19:00Z,Goiás,fora,67,67',Lucas Ribeiro,Gegê,
401860095,2026-04-11T19:00Z,Goiás,fora,67,67',Bruno Sávio,Cadu,
401860095,2026-04-11T19:00Z,Juventude,casa,75,75',Léo Índio,Luan Gonçalves,an injury
401860095,2026-04-11T19:00Z,Goiás,fora,80,80',Djalma Silva,Nicolas,
401860095,2026-04-11T19:00Z,Juventude,casa,82,82',Ray,Alan Kardec,
401860095,2026-04-11T19:00Z,Juventude,casa,83,83',Carlinhos,Allanzinho,
401860092,2026-04-11T21:00Z,Sport,casa,34,34',Habraão,Zé Marcos,an injury
401860092,2026-04-11T21:00Z,Sport,casa,45,45',Iury Castilho,Clayson,
401860092,2026-04-11T21:00Z,Sport,casa,45,45',Carlos de Pena,Biel,
401860092,2026-04-11T21:00Z,Avaí,fora,66,66',Sorriso,Thayllon,
401860092,2026-04-11T21:00Z,Avaí,fora,67,67',Del Piage,Luiz Henrique,
401860092,2026-04-11T21:00Z,Avaí,fora,71,71',Wesley Gasolina,Wallison,an injury
401860092,2026-04-11T21:00Z,Sport,casa,72,72',Gustavo Maia,Perotti,
401860092,2026-04-11T21:00Z,Sport,casa,86,86',Marlon Douglas,Zé Gabriel,
401860092,2026-04-11T21:00Z,Avaí,fora,86,86',Isaías Pereira,Walace França,
401860092,2026-04-11T21:00Z,Avaí,fora,86,86',Cristiano,Jean Lucas,
401860102,2026-04-18T21:00Z,Sport,fora,45,45',Madson,Augusto Pucci,
401860102,2026-04-18T21:00Z,Sport,fora,45,45',Biel,Zé Lucas,
401860102,2026-04-18T21:00Z,Sport,fora,61,61',Marlon Douglas,Iury Castilho,
401860102,2026-04-18T21:00Z,Sport,fora,62,62',Habraão,Marcelo Ajul,an injury
401860102,2026-04-18T21:00Z,América Mineiro,casa,74,74',Paulinho,Dalbert,an injury
401860102,2026-04-18T21:00Z,América Mineiro,casa,74,74',Jhonatan Lima,Yago Santos,
401860102,2026-04-18T21:00Z,América Mineiro,casa,84,84',Léo Alaba,Felipe Amaral,
401860102,2026-04-18T21:00Z,América Mineiro,casa,84,84',Paulo Victor,Gonzalo Mastriani,
