time,team_id,jogador,vezes_entrou,vezes_saiu,minuto_medio_entrada
Goiás,3395,Esli García,7,2,58.14
Goiás,3395,Juninho,7,3,74.14
Goiás,3395,Bruno Sávio,7,1,71.57
Goiás,3395,Djalma Silva,6,6,74.67
Goiás,3395,Diego Caito,6,4,66.33
Goiás,3395,Anselmo Ramon,6,6,56.83
Goiás,3395,Cadu,6,5,53.5
Goiás,3395,Guilherme Baldória,6,6,53.33
Goiás,3395,Brayann,6,0,61.0
Goiás,3395,Lucas Ribeiro,4,1,68.75
Goiás,3395,Rodrigo Soares,4,4,69.5
Goiás,3395,Lourenço,4,3,62.75
Goiás,3395,Pedrinho,4,0,57.25
Goiás,3395,Second yellow card to Nicolas,3,6,71.67
Goiás,3395,Luisão,2,0,68.5
Goiás,3395,Jean Carlos Alves Ferreira,2,11,58.0
Goiás,3395,Halerrandrio,2,0,75.5
Goiás,3395,Luiz Felipe,2,0,68.0
Goiás,3395,Lucas Lima,1,9,59.0
Goiás,3395,Gegê,1,7,82.0
Goiás,3395,Kadu,1,6,45.0
Goiás,3395,Lucas Rodrigues,1,5,45.0
Goiás,3395,João Assis,1,0,84.0
Goiás,3395,Murilo Camara,1,0,45.0
Goiás,3395,Second yellow card to Ramon,0,1,
Goiás,3395,Filipe Machado,0,4,
Sport,7635,Marlon Douglas,9,3,69.0
Sport,7635,Pedro Martins,8,2,69.38
Sport,7635,Augusto Pucci,8,4,64.88
Sport,7635,Carlos de Pena,8,4,65.75
Sport,7635,Yago Felipe,7,5,78.57
Sport,7635,Iury Castilho,7,4,57.29
Sport,7635,Zé Gabriel,6,3,74.67
Sport,7635,Clayson,5,7,66.8
Sport,7635,Fábio Matheus,3,3,67.67
Sport,7635,Edson Lucas,3,1,83.33
Sport,7635,Zé Roberto,2,2,81.5
Sport,7635,Max Alexandre,2,0,88.0
Sport,7635,Gustavo Maia,2,2,40.0
Sport,7635,Habraão,2,1,48.0
Sport,7635,Pedro Perotti,1,3,35.0
Sport,7635,Diego Hernández,1,0,88.0
Sport,7635,Biel,1,12,45.0
Sport,7635,Madson,1,8,45.0
Sport,7635,Zé Marcos,1,1,72.0
Sport,7635,Patrick,1,0,67.0
Sport,7635,Micael,1,0,72.0
Sport,7635,Dedé,1,0,72.0
Sport,7635,Lipão,1,0,81.0
Sport,7635,Zé Lucas,0,8,
Sport,7635,Second yellow card to Marcelo Ajul,0,2,
Sport,7635,Chrystian Barletta,0,6,
