event_id,data_jogo,status,time_casa,time_fora,gols_casa,gols_fora,formacao_casa,formacao_fora,posse_casa,posse_fora,finalizacoes_casa,finalizacoes_fora,total_gols
401860069,2026-03-21T23:30Z,STATUS_FULL_TIME,Cuiabá,Sport,0,0,4-4-2,3-4-3,41.9,58.1,13,10,0
401860068,2026-03-22T21:00Z,STATUS_FULL_TIME,Goiás,América Mineiro,3,1,4-1-3-2,4-3-3,32.6,67.4,9,24,4
401860075,2026-04-01T22:00Z,STATUS_FULL_TIME,Londrina,Goiás,2,2,4-2-3-1,4-2-3-1,40.6,59.4,8,15,4
401860073,2026-04-01T22:00Z,STATUS_FULL_TIME,Sport,Vila Nova,1,1,3-4-3,4-1-4-1,39.2,60.8,10,16,2
401860084,2026-04-04T23:30Z,STATUS_FULL_TIME,Londrina,Sport,1,2,4-2-3-1,4-3-3,37.7,62.3,13,16,3
401860085,2026-04-07T00:00Z,STATUS_FULL_TIME,Goiás,Criciúma,1,0,4-1-3-2,3-4-2-1,54.1,45.9,13,9,1
401860095,2026-04-11T19:00Z,STATUS_FULL_TIME,Juventude,Goiás,2,0,3-4-2-1,4-1-3-2,42.5,57.5,10,5,2
401860092,2026-04-11T21:00Z,STATUS_FULL_TIME,Sport,Avaí,2,2,4-3-3,4-2-3-1,58.6,41.4,21,16,4
401860102,2026-04-18T21:00Z,STATUS_FULL_TIME,América Mineiro,Sport,0,0,4-1-4-1,4-3-3,49.8,50.2,17,9,0
401860108,2026-04-19T21:00Z,STATUS_FULL_TIME,Goiás,Cuiabá,0,2,4-1-3-2,3-4-1-2,65.6,34.4,8,11,2
401860113,2026-04-25T23:30Z,STATUS_FULL_TIME,Sport,Novorizontino,1,0,4-2-3-1,4-4-2,56.3,43.7,10,10,1
401860116,2026-04-26T19:00Z,STATUS_FULL_TIME,São Bernardo,Goiás,1,0,4-2-3-1,4-1-3-2,44.9,55.1,13,16,1
401860123,2026-05-02T23:30Z,STATUS_FULL_TIME,Fortaleza,Goiás,4,1,3-4-2-1,4-2-3-1,43.5,56.5,17,10,5
401860126,2026-05-03T21:00Z,STATUS_FULL_TIME,Sport,Ceará,2,0,4-2-3-1,4-2-3-1,44.3,55.7,16,10,2
401860133,2026-05-09T19:00Z,STATUS_FULL_TIME,Goiás,Vila Nova,1,0,4-3-1-2,4-2-3-1,35.7,64.3,12,11,1
401860135,2026-05-09T21:30Z,STATUS_FULL_TIME,Ponte Preta,Sport,1,3,3-4-2-1,4-2-3-1,47.6,52.4,16,10,4
401860144,2026-05-16T21:30Z,STATUS_FULL_TIME,Goiás,Botafogo-SP,1,0,4-2-3-1,4-2-3-1,55.2,44.8,17,7,1
401860149,2026-05-17T23:30Z,STATUS_FULL_TIME,Sport,CRB,1,2,4-2-3-1,4-3-3,55.7,44.3,13,12,3
401860156,2026-05-23T23:30Z,STATUS_FULL_TIME,Juventude,Sport,0,1,3-4-3,4-2-3-1,52.3,47.7,16,10,1
401860152,2026-05-24T22:00Z,STATUS_FULL_TIME,Avaí,Goiás,0,2,4-2-3-1,4-3-1-2,34.8,65.2,7,12,2
401873876,2026-05-30T19:00Z,STATUS_FULL_TIME,Atlético Goianiense,Goiás,1,1,4-2-3-1,3-4-1-2,54,46,18,6,2
401860170,2026-05-30T23:30Z,STATUS_FULL_TIME,Sport,Náutico,2,0,4-2-3-1,4-2-3-1,39.6,60.4,8,19,2
401873961,2026-06-10T23:00Z,STATUS_FULL_TIME,Goiás,Novorizontino,0,4,4-2-3-1,4-2-3-1,70.9,29.1,22,14,4
401873941,2026-06-11T00:00Z,STATUS_FULL_TIME,Sport,Athletic,1,1,4-2-3-1,3-4-2-1,66.4,33.6,19,8,2
401873947,2026-06-14T14:00Z,STATUS_FULL_TIME,São Bernardo,Sport,0,0,4-2-3-1,4-2-3-1,36.1,63.9,9,23,0
401873962,2026-06-14T19:00Z,STATUS_FULL_TIME,Athletic,Goiás,1,1,4-1-4-1,4-1-2-1-2,56.2,43.8,16,8,2
401873945,2026-06-19T00:00Z,STATUS_FULL_TIME,Sport,Atlético Goianiense,1,1,4-2-3-1,4-2-3-1,56.4,43.6,10,13,2
401873951,2026-06-21T21:30Z,STATUS_FULL_TIME,Goiás,Operário PR,0,3,4-1-2-1-2,4-4-1-1,59.3,40.7,17,10,3
401873973,2026-06-28T21:30Z,STATUS_FULL_TIME,Náutico,Goiás,0,1,4-2-3-1,4-2-3-1,61.9,38.1,27,16,1
401873971,2026-06-28T21:30Z,STATUS_FULL_TIME,Fortaleza,Sport,2,1,4-1-4-1,4-1-4-1,40,60,12,16,3
401873994,2026-07-04T19:00Z,STATUS_FULL_TIME,Criciúma,Sport,1,0,3-4-3,3-4-3,45.5,54.5,10,14,1
401873981,2026-07-04T23:00Z,STATUS_FULL_TIME,Goiás,Ceará,2,0,4-2-3-1,3-4-2-1,38.4,61.6,5,16,2
401860223,2026-07-10T23:00Z,STATUS_FULL_TIME,Sport,Botafogo-SP,3,3,4-3-1-2,4-1-4-1,71.1,28.9,20,11,6
401874000,2026-07-12T22:00Z,STATUS_FULL_TIME,CRB,Goiás,2,2,4-1-4-1,4-2-3-1,47,53,21,4,4
401874005,2026-07-18T19:00Z,STATUS_FULL_TIME,Ponte Preta,Goiás,1,2,3-5-1-1,4-2-3-1,46,54,14,8,3
401874007,2026-07-18T19:00Z,STATUS_FULL_TIME,Sport,Operário PR,2,2,4-3-3,4-3-3,55.4,44.6,23,16,4
