logged_at,tipo,minuto,team_id,time,marcador,assistente,cartao,descricao
2026-07-22T18:06:20.180240+00:00,gols,25',7635,Sport,Perotti,Felipinho,,"Goal! Sport Recife 1, Atlético Goianiense 0. Perotti (Sport Recife) left footed shot from the centre of the box to the bottom left corner. Assisted by Felipinho."
2026-07-22T18:06:20.180240+00:00,gols,90'+5',10357,Atlético Goianiense,Léo Jacó,Tito following a corner,,"Goal! Sport Recife 1, Atlético Goianiense 1. Léo Jacó (Atlético Goianiense) left footed shot from very close range to the bottom right corner. Assisted by Tito following a corner."
2026-07-22T18:06:20.180240+00:00,cartoes,40',7635,Sport,,,amarelo,Augusto Pucci (Sport Recife) is shown the yellow card for a bad foul.
2026-07-22T18:06:20.180240+00:00,cartoes,85',10357,Atlético Goianiense,,,amarelo,Tito (Atlético Goianiense) is shown the yellow card for a bad foul.
2026-07-22T18:06:20.180240+00:00,cartoes,90',10357,Atlético Goianiense,,,amarelo,Guilherme Marques (Atlético Goianiense) is shown the yellow card for a bad foul.
2026-07-22T18:06:20.180240+00:00,cartoes,90'+5',7635,Sport,,,amarelo,Carlos de Pena (Sport Recife) is shown the yellow card.
2026-07-22T18:06:20.180240+00:00,substituicoes,45',10357,Atlético Goianiense,,,,"Substitution, Atlético Goianiense. Léo Jacó replaces Leandro Vilela."
2026-07-22T18:06:20.192608+00:00,substituicoes,58',7635,Sport,,,,"Substitution, Sport Recife. Marlon Douglas replaces Augusto Pucci."
2026-07-22T18:06:20.193815+00:00,substituicoes,63',10357,Atlético Goianiense,,,,"Substitution, Atlético Goianiense. Felipe Guimarães replaces Bruno José."
2026-07-22T18:06:20.194503+00:00,substituicoes,70',7635,Sport,,,,"Substitution, Sport Recife. Pedro Martins replaces Zé Lucas."
2026-07-22T18:06:20.194811+00:00,substituicoes,70',7635,Sport,,,,"Substitution, Sport Recife. Carlos de Pena replaces Iury Castilho."
2026-07-22T18:06:20.194811+00:00,substituicoes,79',7635,Sport,,,,"Substitution, Sport Recife. Fábio Matheus replaces Biel."
2026-07-22T18:06:20.194811+00:00,substituicoes,79',10357,Atlético Goianiense,,,,"Substitution, Atlético Goianiense. Gabriel Dias replaces Ewerthon."
2026-07-22T18:06:20.194811+00:00,substituicoes,79',10357,Atlético Goianiense,,,,"Substitution, Atlético Goianiense. Klebert replaces Marrony."
2026-07-22T18:06:20.194811+00:00,substituicoes,90'+1',10357,Atlético Goianiense,,,,"Substitution, Atlético Goianiense. Assis replaces Guilherme Marques."
